genes,logfoldchanges,pvals,pvals_adj
APOE,4.5369496,3.5030553886930297e-194,7.973654675743074e-190
C1QB,5.0127296,6.5489923503724826e-170,7.453408193958922e-166
JUN,3.520867,3.073324515024103e-163,2.331833753699288e-159
C1QC,4.5220795,3.7018891765488284e-162,2.1065600359151106e-158
CD74,2.5907893,1.4893127071327592e-154,6.779947167951173e-151
C1QA,4.719333,7.534015901014504e-151,2.858154498981536e-147
FOS,2.4722593,5.792832195688789e-149,1.8836635205466887e-145
RHOB,4.7932234,3.1559900748163325e-136,8.979580760371169e-133
FTL,2.155271,4.228596745383296e-133,1.0694591013157177e-129
HSPA1A,5.1451654,1.176782271036891e-131,2.6785918053341715e-128
IFITM3,4.769364,1.5644219650076307e-129,3.237215706136699e-126
SPP1,4.305843,3.0206697923845385e-128,5.729707151188073e-125
CCL3,4.1971645,1.0774547643333799e-126,1.8865404112120302e-123
RGS1,2.7003489,1.1413254148313031e-125,1.8556320780278658e-122
HSPA1B,5.79705,1.8343550291125238e-121,2.783572611510618e-118
SGK1,3.8307333,6.131997676128161e-121,8.723533194001825e-118
SAT1,2.474893,1.8872909423690365e-120,2.526971554717883e-117
FTH1,1.5665429,5.691558720566248e-118,7.197292199862719e-115
DUSP1,2.2894306,1.3395550619327168e-115,1.6047869641953947e-112
HSP90AA1,2.0335848,1.159627494313403e-112,1.319772051278084e-109
HLA-DRA,2.9412277,4.03919176456773e-107,4.3780991878614604e-104
APOC1,3.1443675,1.747099601640853e-105,1.8076127787522314e-102
CEBPD,3.1266012,1.142286969649101e-98,1.1304667827457755e-95
TYROBP,2.9259381,4.105196143545541e-90,3.8934364424743173e-87
CST3,2.8087494,6.287253379430102e-90,5.724418456903519e-87
C3,3.4832063,6.168108492910053e-89,5.399941750600716e-86
HLA-DPA1,2.4305494,1.1037872267856867e-82,8.663587881412345e-80
IFI6,4.341894,2.1141016546814016e-80,1.6040393954619356e-77
MT2A,2.2942493,3.3988786591753264e-76,2.4956540658112508e-73
HLA-DRB1,2.276779,6.978971811458515e-73,4.964229886638085e-70
ITM2B,1.5986674,8.161166911284188e-72,5.629226704080323e-69
FCER1G,2.8467493,8.340190101388927e-70,5.583511973171022e-67
H3F3B,1.2118607,8.349182534833339e-62,5.136326833996661e-59
ZFP36,1.1704849,1.270025988285691e-61,7.607455669831289e-59
NEAT1,1.7673627,1.9675856918883695e-60,1.148363731250335e-57
IFI27,7.461107,3.583164608396017e-60,1.9892681174709793e-57
PSAP,1.972887,6.956158769512744e-60,3.7699068074202163e-57
APOC2,2.9873385,1.8903127889130864e-54,9.561622155831038e-52
NPC2,2.3631046,7.20263636142377e-53,3.5640523664940836e-50
MARCKS,3.0898812,3.1318738837626958e-52,1.5167598583448188e-49
CCL4L2,2.4377434,2.7117064382142948e-49,1.259670651972118e-46
HLA-DPB1,1.7600238,6.121412387766779e-48,2.7867117754069486e-45
CCL4,2.0319645,1.3363810335918217e-47,5.849750978195586e-45
FCGR3A,3.516296,6.276610108855815e-47,2.64570739440326e-44
HLA-DRB5,1.9921606,2.270851789295446e-46,9.23020150498981e-44
DNAJB1,1.8968987,2.563342668647191e-46,1.023628172346445e-43
AIF1,2.5399904,2.385376308061064e-45,9.202700936285753e-43
ZFP36L1,1.9251232,6.697560283620869e-45,2.499178150422594e-42
CD14,3.5883453,4.3516009892456195e-43,1.478375249510579e-40
A2M,3.0562305,8.77775843079876e-41,2.814075174673822e-38
ATF3,3.1196318,1.2558863174879267e-40,3.9703450498139155e-38
MAFB,3.2812605,1.2397811531186584e-39,3.713144553590382e-37
GLUL,2.0447917,7.637996482309494e-38,2.146371307781836e-35
S100A11,1.2014021,7.787687606227951e-36,2.0721635851514264e-33
EGR1,3.6220543,1.5789938654723257e-35,4.131156134009319e-33
IER2,1.6405231,1.779683996521547e-35,4.6033144464572104e-33
HLA-DQB1,1.8013756,4.5556292101183835e-35,1.165114967199041e-32
CD63,1.8096623,6.318867230843004e-35,1.563370172917918e-32
SLC1A3,3.6689725,6.452543391314086e-35,1.5792773405708735e-32
CCL3L1,3.3918476,1.2670176088409593e-34,3.068069660897651e-32
MT-ATP8,1.9647764,2.5151275527369834e-34,6.026245616357813e-32
KLF6,1.0172364,2.841861860683738e-34,6.668707182771469e-32
PDK4,3.104768,1.2644557569757701e-33,2.878154194028248e-31
GADD45B,1.8886803,5.667246288301323e-31,1.252406407905968e-28
CD81,1.4484278,3.38517085977596e-30,7.201239169179476e-28
HSPB1,2.1499658,7.302222397970007e-30,1.5248916167210395e-27
CYBB,3.0482905,1.1813805992786973e-28,2.338311756589714e-26
IER3,3.071878,3.7390120036877785e-27,7.033668696524068e-25
IFI30,1.7798821,6.464843910393152e-27,1.2061703040030241e-24
IFI44L,4.718365,4.8029367167894373e-26,8.517159925040444e-24
PLXDC2,2.903889,6.750116138462341e-26,1.18189341187446e-23
GPR34,3.683613,1.1095203345663866e-25,1.913250140560613e-23
CD163,3.035431,4.028271434649988e-25,6.596511827014606e-23
TREM2,2.6244895,1.594154620140747e-24,2.5198713516419223e-22
