leiden,CD3D,CD3E,CD7,GZMB,GZMA,CD68,CD163,LYZ,CD14,S100A9,S100A8,CEACAM1,CD19,MS4A1,PTPRC
0,0.09752066115702479,0.12355371900826446,0.10041322314049586,0.06570247933884298,0.09132231404958678,0.5975206611570248,0.5797520661157025,0.4570247933884298,0.6355371900826446,0.4099173553719008,0.39008264462809916,0.0070247933884297524,0.010743801652892562,0.03677685950413223,0.596694214876033
1,0.5843253968253969,0.652281746031746,0.5104166666666666,0.3655753968253968,0.6165674603174603,0.1111111111111111,0.04861111111111111,0.0496031746031746,0.04017857142857143,0.030257936507936508,0.01984126984126984,0.012896825396825396,0.0,0.030257936507936508,0.8888888888888888
2,0.015777610818933134,0.018782870022539443,0.06836964688204357,0.0067618332081141996,0.01652892561983471,0.6739293764087152,0.7212622088655146,0.29451540195341847,0.69045830202855,0.1728024042073629,0.13749060856498874,0.019534184823441023,0.009767092411720512,0.004507888805409466,0.7888805409466566
3,0.03173311635475997,0.027664768104149716,0.05777054515866558,0.023596419853539462,0.03498779495524817,0.7770545158665582,0.6387306753458096,0.6956875508543532,0.6517493897477624,0.48331977217249794,0.36859235150528885,0.0032546786004882017,0.005695687550854353,0.0016273393002441008,0.6224572823433686
4,0.05480769230769231,0.07692307692307693,0.05961538461538462,0.1076923076923077,0.07788461538461539,0.3875,0.32884615384615384,0.27307692307692305,0.40192307692307694,0.24615384615384617,0.18461538461538463,0.007692307692307693,0.0057692307692307696,0.01826923076923077,0.38653846153846155
5,0.7994143484626647,0.8638360175695461,0.513909224011713,0.04978038067349927,0.3923865300146413,0.08784773060029283,0.03367496339677892,0.040995607613469986,0.055636896046852125,0.027818448023426062,0.020497803806734993,0.08345534407027819,0.0,0.014641288433382138,0.9048316251830161
6,0.03932584269662921,0.0898876404494382,0.16666666666666666,0.08052434456928839,0.05805243445692884,0.40262172284644193,0.26779026217228463,0.5262172284644194,0.25842696629213485,0.20973782771535582,0.1441947565543071,0.003745318352059925,0.003745318352059925,0.02247191011235955,0.6123595505617978
7,0.011574074074074073,0.013888888888888888,0.046296296296296294,0.006944444444444444,0.011574074074074073,0.6782407407407407,0.27314814814814814,0.10648148148148148,0.5532407407407407,0.25925925925925924,0.2337962962962963,0.009259259259259259,0.004629629629629629,0.0023148148148148147,0.3888888888888889
8,0.21212121212121213,0.25068870523415976,0.18181818181818182,0.14600550964187328,0.22038567493112948,0.32231404958677684,0.2231404958677686,0.21212121212121213,0.24517906336088155,0.1763085399449036,0.22038567493112948,0.01652892561983471,0.008264462809917356,0.0027548209366391185,0.5151515151515151
9,0.003215434083601286,0.01607717041800643,0.00964630225080386,0.012861736334405145,0.003215434083601286,0.06752411575562701,0.01929260450160772,0.05466237942122187,0.04823151125401929,0.01929260450160772,0.01929260450160772,0.003215434083601286,0.003215434083601286,0.0,0.04823151125401929
10,0.3114754098360656,0.40327868852459015,0.7180327868852459,0.5901639344262295,0.760655737704918,0.16393442622950818,0.10819672131147541,0.07213114754098361,0.14098360655737704,0.06557377049180328,0.06557377049180328,0.003278688524590164,0.003278688524590164,0.036065573770491806,0.8852459016393442
11,0.00823045267489712,0.037037037037037035,0.037037037037037035,0.1728395061728395,0.00823045267489712,0.2839506172839506,0.11522633744855967,0.08641975308641975,0.14814814814814814,0.09465020576131687,0.07407407407407407,0.00411522633744856,0.26337448559670784,0.49382716049382713,0.6502057613168725
12,0.004524886877828055,0.00904977375565611,0.004524886877828055,0.02262443438914027,0.00904977375565611,0.07239819004524888,0.013574660633484163,0.013574660633484163,0.03619909502262444,0.013574660633484163,0.00904977375565611,0.0,0.013574660633484163,0.0,0.06334841628959276
13,0.15,0.12727272727272726,0.05909090909090909,0.07272727272727272,0.09090909090909091,0.5727272727272728,0.5,0.6590909090909091,0.7227272727272728,0.509090909090909,0.45,0.004545454545454545,0.0,0.045454545454545456,0.6
14,0.08588957055214724,0.12883435582822086,0.024539877300613498,0.03067484662576687,0.04294478527607362,0.2883435582822086,0.22699386503067484,0.1411042944785276,0.34355828220858897,0.10429447852760736,0.1165644171779141,0.0,0.0,0.018404907975460124,0.32515337423312884
15,0.0,0.011235955056179775,0.011235955056179775,0.011235955056179775,0.0,0.3258426966292135,0.056179775280898875,0.12359550561797752,0.06741573033707865,0.056179775280898875,0.033707865168539325,0.0,0.011235955056179775,0.0,0.16853932584269662
16,0.4230769230769231,0.4358974358974359,0.15384615384615385,0.0,0.1282051282051282,0.3333333333333333,0.16666666666666666,0.24358974358974358,0.15384615384615385,0.16666666666666666,0.10256410256410256,0.02564102564102564,0.0,0.02564102564102564,0.6025641025641025
