leiden,CD3D,CD3E,CD7,GZMB,GZMA,CD68,CD163,LYZ,CD14,S100A9,S100A8,CEACAM1,CD19,MS4A1,PTPRC
0,0.1978619,0.25646406,0.20340618,0.13962552,0.18874897,1.4108099,1.3576958,1.0437956,1.5450526,0.9241002,0.88581985,0.014269392,0.021847717,0.07517573,1.3885047
1,1.2643772,1.5806426,1.0929743,0.78067964,1.5842892,0.18308127,0.07889477,0.08044508,0.063585535,0.053122003,0.035671,0.020097699,0.0,0.045961566,2.3363335
2,0.021729523,0.030020524,0.07014442,0.009895994,0.024754245,1.3291117,1.6194661,0.4332888,1.6167085,0.25365373,0.19907753,0.01879455,0.010980347,0.0071921996,1.5662485
3,0.06790866,0.05644376,0.075210944,0.0509517,0.06608223,1.8449522,1.3703711,1.7034202,1.4532944,1.1120703,0.9353285,0.0035873223,0.006700923,0.0027467548,1.126679
4,0.121775575,0.16837397,0.1279592,0.26052135,0.16665791,0.9700586,0.79783154,0.66098446,1.0251771,0.57705045,0.4271361,0.017110255,0.013035025,0.04143867,0.9532351
5,1.6254059,1.9641855,0.96685123,0.08686013,0.79944634,0.11816079,0.047557194,0.05624154,0.07759123,0.042102516,0.033439074,0.10636136,0.0,0.01870358,2.087899
6,0.07969563,0.20871727,0.2722248,0.19506887,0.14192674,0.63690066,0.5050304,1.1464238,0.42297414,0.4346362,0.31297633,0.006581471,0.006909961,0.06054509,1.2677641
7,0.018774323,0.021992004,0.0739322,0.011455108,0.019283237,1.7381291,0.6211717,0.20533925,1.3998153,0.6005173,0.5451924,0.018239748,0.010338026,0.0028429192,0.8547385
8,0.46246493,0.5568686,0.33352023,0.27856186,0.54635024,0.67504674,0.45960873,0.39391118,0.54445064,0.36023676,0.43179852,0.01196597,0.0034406995,0.0020025603,1.1522093
9,0.0009138003,0.032025553,0.021539943,0.020599583,0.0045561017,0.12225479,0.03353068,0.09985659,0.07611494,0.021872573,0.04499256,0.0007870699,0.00243407,0.0,0.087876625
10,0.5931075,0.8205561,1.7358154,1.5657831,1.7665104,0.28069127,0.20212694,0.10459123,0.26387388,0.089849345,0.10701504,0.0017102996,0.0019163901,0.054715578,2.2192597
11,0.013736344,0.043314315,0.056671727,0.59596324,0.011490402,0.46739253,0.19943406,0.12911187,0.26225278,0.13457899,0.12751912,0.006303098,0.40993032,1.2178292,1.3111681
12,0.011027047,0.021970848,0.010209177,0.054316662,0.02210544,0.1201624,0.03143851,0.009626125,0.056438904,0.029065339,0.012370517,0.0,0.0066145803,0.0,0.13009971
13,0.29474822,0.25001615,0.11266716,0.14239901,0.1893439,1.2773807,1.0842855,1.5832734,1.7561679,1.1221018,0.9822422,0.0069945324,0.0,0.09198587,1.3596942
14,0.19734749,0.3088206,0.041458204,0.06553642,0.10841439,0.6666969,0.55784154,0.3196968,0.831888,0.24847034,0.26903966,0.0,0.0,0.047568597,0.79204977
15,0.0,0.021770302,0.021770302,0.021770302,0.0,0.9178338,0.14400321,0.33320495,0.18590002,0.16639476,0.10307858,0.0,0.036923166,0.0,0.42976722
16,1.0041754,0.9621907,0.32544556,0.0,0.28327635,0.7242509,0.37039304,0.5599239,0.31841812,0.36255497,0.21009429,0.05494718,0.0,0.06566136,1.4838103
