leiden,gene,expression
5,IGLL5,0.0
0,IGLL5,0.0
2,IGLL5,0.0
2,IGLL5,0.0
5,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
6,IGLL5,1.1554122
5,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
3,IGLL5,0.0
1,IGLL5,0.0
1,IGLL5,0.0
1,IGLL5,0.0
1,IGLL5,0.0
2,IGLL5,0.0
2,IGLL5,0.0
2,IGLL5,0.0
4,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
2,IGLL5,0.0
4,IGLL5,0.0
3,IGLL5,0.0
1,IGLL5,0.0
1,IGLL5,0.0
5,IGLL5,0.0
0,IGLL5,0.0
3,IGLL5,0.0
0,IGLL5,0.0
2,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
1,IGLL5,0.0
4,IGLL5,0.0
5,IGLL5,0.0
2,IGLL5,0.0
0,IGLL5,0.0
5,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
3,IGLL5,0.0
0,IGLL5,0.0
3,IGLL5,0.0
6,IGLL5,0.0
3,IGLL5,0.0
4,IGLL5,0.0
1,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
2,IGLL5,0.0
4,IGLL5,0.0
3,IGLL5,0.0
2,IGLL5,0.0
3,IGLL5,0.0
5,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
2,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
2,IGLL5,0.0
0,IGLL5,0.0
3,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
2,IGLL5,0.0
3,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
3,IGLL5,0.0
0,IGLL5,0.0
4,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
3,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,1.2460184
0,IGLL5,0.0
2,IGLL5,0.0
5,IGLL5,0.0
2,IGLL5,0.0
2,IGLL5,0.0
6,IGLL5,0.0
0,IGLL5,0.0
3,IGLL5,0.0
4,IGLL5,0.0
1,IGLL5,0.0
3,IGLL5,0.0
3,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
2,IGLL5,0.0
4,IGLL5,0.0
6,IGLL5,0.0
1,IGLL5,0.0
2,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,1.0565829
3,IGLL5,0.0
5,IGLL5,0.0
1,IGLL5,0.0
1,IGLL5,0.0
6,IGLL5,0.0
4,IGLL5,0.0
2,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
5,IGLL5,0.0
6,IGLL5,0.0
0,IGLL5,0.0
5,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
5,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
2,IGLL5,0.0
1,IGLL5,0.0
1,IGLL5,0.0
1,IGLL5,0.0
6,IGLL5,0.0
2,IGLL5,0.0
2,IGLL5,0.0
5,IGLL5,0.0
4,IGLL5,0.0
2,IGLL5,0.0
1,IGLL5,0.0
1,IGLL5,0.0
2,IGLL5,0.0
5,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
5,IGLL5,0.0
3,IGLL5,1.0713732
1,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
4,IGLL5,0.0
1,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
3,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
3,IGLL5,0.0
5,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
2,IGLL5,0.0
1,IGLL5,0.0
4,IGLL5,0.0
3,IGLL5,0.0
3,IGLL5,0.0
0,IGLL5,0.0
3,IGLL5,0.0
0,IGLL5,0.0
5,IGLL5,0.0
1,IGLL5,0.0
1,IGLL5,0.0
4,IGLL5,0.0
4,IGLL5,0.0
0,IGLL5,1.2372675
0,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
2,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
3,IGLL5,0.0
1,IGLL5,0.0
1,IGLL5,0.0
4,IGLL5,0.0
1,IGLL5,0.0
1,IGLL5,0.0
5,IGLL5,0.0
1,IGLL5,0.0
2,IGLL5,0.0
4,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
3,IGLL5,0.0
5,IGLL5,0.0
2,IGLL5,0.0
0,IGLL5,0.0
6,IGLL5,1.4471484
6,IGLL5,0.0
0,IGLL5,0.0
3,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
2,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
5,IGLL5,0.0
5,IGLL5,0.0
2,IGLL5,0.0
5,IGLL5,0.0
3,IGLL5,0.0
6,IGLL5,0.0
4,IGLL5,0.0
5,IGLL5,0.0
3,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
4,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
2,IGLL5,0.0
0,IGLL5,0.0
6,IGLL5,0.0
0,IGLL5,0.0
6,IGLL5,0.0
0,IGLL5,0.0
6,IGLL5,0.0
1,IGLL5,0.0
5,IGLL5,0.0
5,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
4,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
4,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
2,IGLL5,0.0
1,IGLL5,0.0
4,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
3,IGLL5,0.0
1,IGLL5,0.0
4,IGLL5,0.0
1,IGLL5,0.0
1,IGLL5,0.0
2,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
5,IGLL5,0.0
5,IGLL5,0.0
0,IGLL5,0.0
4,IGLL5,0.0
2,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
6,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
4,IGLL5,0.0
3,IGLL5,0.0
0,IGLL5,0.0
3,IGLL5,0.0
2,IGLL5,0.0
2,IGLL5,0.0
1,IGLL5,0.0
2,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
3,IGLL5,0.0
3,IGLL5,0.0
2,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,2.0172322
1,IGLL5,0.0
3,IGLL5,0.0
0,IGLL5,0.0
5,IGLL5,0.0
5,IGLL5,0.0
1,IGLL5,0.0
2,IGLL5,0.0
1,IGLL5,0.0
1,IGLL5,0.0
3,IGLL5,0.0
4,IGLL5,0.0
1,IGLL5,0.0
3,IGLL5,0.0
3,IGLL5,0.0
0,IGLL5,0.0
4,IGLL5,0.0
0,IGLL5,0.0
4,IGLL5,0.0
2,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
3,IGLL5,0.0
0,IGLL5,0.0
6,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
2,IGLL5,0.0
0,IGLL5,0.0
2,IGLL5,0.0
0,IGLL5,0.0
5,IGLL5,0.0
1,IGLL5,0.0
3,IGLL5,0.0
5,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
1,IGLL5,0.0
6,IGLL5,0.0
6,IGLL5,0.0
1,IGLL5,0.0
2,IGLL5,0.0
5,IGLL5,0.0
6,IGLL5,0.0
1,IGLL5,0.0
4,IGLL5,0.0
1,IGLL5,0.0
2,IGLL5,0.0
6,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
4,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
2,IGLL5,0.0
0,IGLL5,1.1807534
5,IGLL5,0.0
6,IGLL5,0.0
4,IGLL5,0.0
0,IGLL5,0.0
2,IGLL5,0.0
6,IGLL5,0.0
0,IGLL5,0.0
3,IGLL5,0.0
1,IGLL5,0.0
5,IGLL5,0.0
3,IGLL5,0.0
3,IGLL5,0.0
2,IGLL5,0.0
5,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
3,IGLL5,0.0
0,IGLL5,0.0
6,IGLL5,0.0
2,IGLL5,0.0
5,IGLL5,0.0
5,IGLL5,0.0
3,IGLL5,0.0
5,IGLL5,0.0
2,IGLL5,0.0
2,IGLL5,0.0
1,IGLL5,0.0
4,IGLL5,0.0
2,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
4,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
3,IGLL5,0.0
4,IGLL5,0.0
0,IGLL5,0.0
5,IGLL5,0.0
1,IGLL5,1.5986458
1,IGLL5,0.0
5,IGLL5,0.0
3,IGLL5,0.0
0,IGLL5,0.0
4,IGLL5,0.0
2,IGLL5,0.0
0,IGLL5,0.0
6,IGLL5,0.0
4,IGLL5,0.0
6,IGLL5,0.0
2,IGLL5,0.0
6,IGLL5,0.0
6,IGLL5,0.0
4,IGLL5,0.0
4,IGLL5,0.0
3,IGLL5,0.0
1,IGLL5,0.0
6,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
4,IGLL5,0.0
0,IGLL5,0.0
2,IGLL5,0.0
4,IGLL5,0.0
2,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
4,IGLL5,0.0
1,IGLL5,0.0
4,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
5,IGLL5,0.0
5,IGLL5,0.0
0,IGLL5,0.0
3,IGLL5,0.0
1,IGLL5,0.0
3,IGLL5,0.0
4,IGLL5,0.0
0,IGLL5,1.0193812
2,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
6,IGLL5,0.0
5,IGLL5,0.0
1,IGLL5,0.0
3,IGLL5,0.0
5,IGLL5,0.0
3,IGLL5,0.0
2,IGLL5,0.0
0,IGLL5,0.0
2,IGLL5,0.0
5,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
4,IGLL5,0.0
4,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
3,IGLL5,0.0
0,IGLL5,0.0
3,IGLL5,0.0
6,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
2,IGLL5,0.0
4,IGLL5,0.0
4,IGLL5,0.0
1,IGLL5,0.0
4,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
2,IGLL5,0.0
2,IGLL5,0.0
4,IGLL5,0.0
0,IGLL5,0.0
2,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,1.8219706
0,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
4,IGLL5,0.0
1,IGLL5,1.2590483
0,IGLL5,0.0
0,IGLL5,0.0
2,IGLL5,0.0
1,IGLL5,0.0
5,IGLL5,0.0
2,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
1,IGLL5,0.0
4,IGLL5,0.0
2,IGLL5,0.0
0,IGLL5,0.0
4,IGLL5,0.0
0,IGLL5,0.0
3,IGLL5,0.0
0,IGLL5,0.0
3,IGLL5,0.0
0,IGLL5,0.0
3,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
4,IGLL5,0.0
1,IGLL5,0.0
6,IGLL5,0.0
5,IGLL5,0.0
0,IGLL5,0.0
2,IGLL5,0.0
0,IGLL5,0.0
3,IGLL5,0.0
5,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
5,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
2,IGLL5,0.0
1,IGLL5,0.0
3,IGLL5,0.0
5,IGLL5,0.0
0,IGLL5,0.0
4,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
3,IGLL5,1.4068539
1,IGLL5,0.0
1,IGLL5,0.0
6,IGLL5,1.7169017
2,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
2,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
3,IGLL5,0.8818766
6,IGLL5,0.0
5,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
2,IGLL5,0.0
5,IGLL5,0.0
1,IGLL5,0.0
1,IGLL5,0.0
2,IGLL5,0.0
0,IGLL5,0.0
4,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
5,IGLL5,0.0
3,IGLL5,0.0
4,IGLL5,0.0
0,IGLL5,1.7869838
0,IGLL5,0.0
5,IGLL5,0.0
1,IGLL5,0.0
2,IGLL5,0.0
1,IGLL5,0.0
4,IGLL5,0.0
1,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
4,IGLL5,0.0
5,IGLL5,0.0
0,IGLL5,0.0
2,IGLL5,0.0
6,IGLL5,0.0
3,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
3,IGLL5,0.0
2,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
2,IGLL5,0.0
0,IGLL5,0.0
1,IGLL5,0.0
3,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
0,IGLL5,0.0
6,IGLL5,0.0
0,IGLL5,0.0
4,IGLL5,0.0
5,CD38,0.0
0,CD38,0.0
2,CD38,0.0
2,CD38,0.0
5,CD38,0.0
1,CD38,0.0
0,CD38,1.1348141
6,CD38,0.0
5,CD38,0.0
0,CD38,0.0
0,CD38,0.0
1,CD38,0.0
0,CD38,1.1930937
3,CD38,0.0
1,CD38,0.0
1,CD38,1.0450912
1,CD38,0.0
1,CD38,0.0
2,CD38,0.0
2,CD38,0.0
2,CD38,0.8652942
4,CD38,0.0
0,CD38,0.0
0,CD38,0.0
1,CD38,0.0
0,CD38,0.0
0,CD38,0.0
1,CD38,0.0
0,CD38,0.0
0,CD38,0.0
0,CD38,0.0
0,CD38,1.0773404
2,CD38,0.0
4,CD38,0.0
3,CD38,0.0
1,CD38,1.9745634
1,CD38,0.0
5,CD38,0.0
0,CD38,0.0
3,CD38,0.0
0,CD38,0.0
2,CD38,0.0
0,CD38,0.0
1,CD38,0.0
1,CD38,0.0
4,CD38,0.0
5,CD38,0.0
2,CD38,0.5506167
0,CD38,0.0
5,CD38,0.0
0,CD38,0.0
0,CD38,1.0106314
3,CD38,0.0
0,CD38,0.0
3,CD38,0.0
6,CD38,1.0662265
3,CD38,0.0
4,CD38,0.0
1,CD38,1.3533227
1,CD38,0.0
0,CD38,0.0
2,CD38,0.0
4,CD38,0.0
3,CD38,0.0
2,CD38,0.0
3,CD38,0.0
5,CD38,0.0
0,CD38,0.0
0,CD38,0.0
0,CD38,1.2128183
0,CD38,0.0
1,CD38,0.0
2,CD38,0.9256775
0,CD38,0.0
1,CD38,0.0
2,CD38,0.0
0,CD38,0.0
3,CD38,0.6336552
0,CD38,1.2525845
1,CD38,0.0
2,CD38,0.0
3,CD38,0.0
1,CD38,0.0
0,CD38,0.0
3,CD38,0.0
0,CD38,0.0
4,CD38,0.0
0,CD38,0.0
1,CD38,0.0
3,CD38,0.0
1,CD38,0.0
0,CD38,0.0
0,CD38,0.0
0,CD38,0.0
2,CD38,0.0
5,CD38,0.742451
2,CD38,0.0
2,CD38,0.0
6,CD38,1.0348034
0,CD38,0.0
3,CD38,0.0
4,CD38,0.0
1,CD38,0.0
3,CD38,0.0
3,CD38,0.0
0,CD38,0.0
1,CD38,0.0
2,CD38,0.0
4,CD38,0.0
6,CD38,0.0
1,CD38,0.0
2,CD38,0.0
0,CD38,0.0
0,CD38,0.0
0,CD38,1.2312236
0,CD38,0.0
1,CD38,0.0
3,CD38,0.0
5,CD38,0.0
1,CD38,0.0
1,CD38,0.0
6,CD38,0.6862199
4,CD38,0.0
2,CD38,0.0
0,CD38,0.0
1,CD38,0.0
0,CD38,0.0
0,CD38,0.0
5,CD38,0.0
6,CD38,1.4118798
0,CD38,1.2196686
5,CD38,0.0
0,CD38,0.0
0,CD38,0.0
0,CD38,1.3363289
1,CD38,0.0
5,CD38,0.0
0,CD38,0.0
1,CD38,0.0
0,CD38,0.0
2,CD38,0.0
1,CD38,0.0
1,CD38,0.0
1,CD38,1.6620028
6,CD38,1.8440324
2,CD38,0.0
2,CD38,0.0
5,CD38,0.0
4,CD38,0.0
2,CD38,0.0
1,CD38,1.2161491
1,CD38,1.1977556
2,CD38,0.0
5,CD38,0.0
0,CD38,0.0
0,CD38,1.1900613
5,CD38,0.0
3,CD38,0.0
1,CD38,0.0
0,CD38,0.0
0,CD38,0.0
4,CD38,0.0
1,CD38,0.0
1,CD38,0.0
0,CD38,0.0
1,CD38,0.0
0,CD38,0.0
3,CD38,0.0
1,CD38,0.0
0,CD38,0.0
0,CD38,0.0
3,CD38,0.0
5,CD38,0.0
0,CD38,0.0
0,CD38,0.0
2,CD38,0.0
1,CD38,0.0
4,CD38,0.0
3,CD38,0.0
3,CD38,0.0
0,CD38,0.0
3,CD38,0.0
0,CD38,0.0
5,CD38,0.6516015
1,CD38,0.0
1,CD38,0.0
4,CD38,0.82507473
4,CD38,0.0
0,CD38,0.0
0,CD38,1.8007745
1,CD38,0.0
0,CD38,0.0
1,CD38,0.0
0,CD38,0.0
2,CD38,0.0
1,CD38,0.0
0,CD38,0.0
1,CD38,1.8026757
3,CD38,0.0
1,CD38,1.2661365
1,CD38,0.0
4,CD38,0.0
1,CD38,0.0
1,CD38,0.0
5,CD38,0.0
1,CD38,0.0
2,CD38,0.0
4,CD38,0.0
0,CD38,0.0
1,CD38,0.0
3,CD38,0.0
5,CD38,0.0
2,CD38,0.0
0,CD38,0.0
6,CD38,2.3751779
6,CD38,0.0
0,CD38,0.0
3,CD38,0.0
1,CD38,0.0
0,CD38,0.0
0,CD38,0.0
1,CD38,0.0
2,CD38,0.0
1,CD38,0.0
0,CD38,0.0
0,CD38,0.0
0,CD38,0.0
5,CD38,0.0
5,CD38,0.0
2,CD38,1.0202879
5,CD38,0.0
3,CD38,0.0
6,CD38,0.0
4,CD38,0.0
5,CD38,0.0
3,CD38,0.0
0,CD38,0.0
0,CD38,0.0
4,CD38,0.0
0,CD38,0.0
0,CD38,0.0
0,CD38,0.0
0,CD38,0.0
1,CD38,0.0
0,CD38,0.0
2,CD38,0.0
0,CD38,0.0
6,CD38,0.0
0,CD38,0.0
6,CD38,0.0
0,CD38,0.0
6,CD38,0.7761181
1,CD38,0.0
5,CD38,0.0
5,CD38,0.0
0,CD38,0.0
1,CD38,0.0
4,CD38,1.0303786
0,CD38,0.0
0,CD38,0.0
0,CD38,0.0
4,CD38,0.0
0,CD38,0.0
1,CD38,0.0
2,CD38,0.0
1,CD38,0.0
4,CD38,0.0
0,CD38,0.0
0,CD38,0.0
3,CD38,0.0
1,CD38,0.0
4,CD38,0.0
1,CD38,0.0
1,CD38,0.0
2,CD38,0.0
0,CD38,0.0
1,CD38,1.3118315
5,CD38,0.0
5,CD38,0.6355707
0,CD38,0.0
4,CD38,0.0
2,CD38,0.0
0,CD38,0.0
1,CD38,0.0
0,CD38,0.0
6,CD38,0.0
0,CD38,0.0
0,CD38,0.0
0,CD38,0.0
4,CD38,0.0
3,CD38,0.0
0,CD38,0.0
3,CD38,0.0
2,CD38,0.0
2,CD38,0.0
1,CD38,1.129968
2,CD38,0.0
0,CD38,1.2570653
1,CD38,1.2944549
3,CD38,0.0
3,CD38,1.0106314
2,CD38,1.4421959
0,CD38,0.0
1,CD38,0.0
1,CD38,0.0
3,CD38,0.0
0,CD38,0.0
5,CD38,0.0
5,CD38,0.0
1,CD38,0.0
2,CD38,0.0
1,CD38,0.0
1,CD38,0.0
3,CD38,0.0
4,CD38,0.0
1,CD38,0.0
3,CD38,0.0
3,CD38,0.0
0,CD38,0.0
4,CD38,0.0
0,CD38,0.0
4,CD38,0.0
2,CD38,0.0
0,CD38,0.0
1,CD38,0.0
0,CD38,1.1664059
3,CD38,0.0
0,CD38,0.0
6,CD38,1.1045135
0,CD38,0.0
0,CD38,0.0
0,CD38,1.2289956
2,CD38,0.0
0,CD38,0.0
2,CD38,0.0
0,CD38,0.0
5,CD38,0.0
1,CD38,0.0
3,CD38,0.0
5,CD38,0.0
0,CD38,0.0
1,CD38,0.0
1,CD38,0.0
6,CD38,1.427091
6,CD38,0.0
1,CD38,0.0
2,CD38,0.0
5,CD38,0.0
6,CD38,0.0
1,CD38,0.0
4,CD38,0.0
1,CD38,1.0663514
2,CD38,0.0
6,CD38,1.2271174
0,CD38,0.0
0,CD38,0.0
4,CD38,0.0
0,CD38,0.0
0,CD38,0.0
2,CD38,0.0
0,CD38,0.0
5,CD38,0.0
6,CD38,0.0
4,CD38,0.0
0,CD38,0.0
2,CD38,0.0
6,CD38,0.0
0,CD38,0.0
3,CD38,0.0
1,CD38,1.481651
5,CD38,0.0
3,CD38,0.0
3,CD38,0.0
2,CD38,0.0
5,CD38,0.6137327
0,CD38,0.0
1,CD38,0.90218645
3,CD38,0.0
0,CD38,1.5833951
