leiden,gene,expression
1,SMIM25,0.0
2,SMIM25,1.3334411
0,SMIM25,0.0
1,SMIM25,0.0
0,SMIM25,1.232255
2,SMIM25,0.0
1,SMIM25,0.0
0,SMIM25,1.6993284
1,SMIM25,0.0
2,SMIM25,1.6191076
1,SMIM25,0.0
0,SMIM25,0.0
6,SMIM25,0.0
2,SMIM25,2.1222901
0,SMIM25,0.9058592
0,SMIM25,0.0
3,SMIM25,1.7862451
1,SMIM25,0.7521014
0,SMIM25,1.200345
2,SMIM25,0.0
0,SMIM25,0.7954826
1,SMIM25,0.98464733
4,SMIM25,0.0
0,SMIM25,1.4355723
2,SMIM25,0.0
2,SMIM25,0.0
0,SMIM25,1.63779
3,SMIM25,1.2808375
4,SMIM25,1.1743286
3,SMIM25,1.2490256
3,SMIM25,1.5727137
2,SMIM25,0.0
1,SMIM25,0.91191816
0,SMIM25,1.0836396
6,SMIM25,1.2099481
3,SMIM25,1.6026249
5,SMIM25,0.5017918
3,SMIM25,2.9425464
0,SMIM25,0.6083792
0,SMIM25,0.0
0,SMIM25,1.1259409
1,SMIM25,0.7141919
1,SMIM25,0.68971497
7,SMIM25,0.0
7,SMIM25,0.0
0,SMIM25,0.0
0,SMIM25,1.3111382
0,SMIM25,1.4040667
1,SMIM25,0.0
2,SMIM25,0.0
3,SMIM25,0.8462326
0,SMIM25,0.0
1,SMIM25,0.61748713
3,SMIM25,1.6081591
0,SMIM25,0.9797888
0,SMIM25,0.0
2,SMIM25,0.6790993
2,SMIM25,0.8178672
1,SMIM25,0.77121186
7,SMIM25,1.4924498
1,SMIM25,0.0
0,SMIM25,1.3479196
0,SMIM25,0.0
3,SMIM25,1.9624627
0,SMIM25,0.0
1,SMIM25,1.1067445
0,SMIM25,0.0
7,SMIM25,1.5642918
0,SMIM25,1.2768464
1,SMIM25,0.0
6,SMIM25,0.0
1,SMIM25,1.1779459
1,SMIM25,1.4722625
3,SMIM25,2.435962
0,SMIM25,1.3583106
7,SMIM25,0.0
2,SMIM25,0.0
1,SMIM25,0.0
3,SMIM25,2.244328
2,SMIM25,0.9162607
1,SMIM25,1.0972807
3,SMIM25,2.272165
8,SMIM25,0.54150844
0,SMIM25,1.2325993
4,SMIM25,0.0
2,SMIM25,1.0509238
0,SMIM25,0.0
3,SMIM25,2.6182313
2,SMIM25,0.0
0,SMIM25,1.1266451
1,SMIM25,1.6643131
2,SMIM25,0.0
6,SMIM25,0.0
1,SMIM25,0.0
7,SMIM25,0.0
8,SMIM25,0.69254774
1,SMIM25,0.798899
0,SMIM25,0.0
0,SMIM25,0.0
0,SMIM25,1.1469862
2,SMIM25,1.0950253
4,SMIM25,0.0
1,SMIM25,0.0
2,SMIM25,1.3673235
4,SMIM25,0.76421833
0,SMIM25,1.2762874
6,SMIM25,1.2896675
6,SMIM25,1.5298554
6,SMIM25,1.1386232
1,SMIM25,1.3876083
2,SMIM25,0.9411262
4,SMIM25,0.9270133
2,SMIM25,0.0
1,SMIM25,1.5030283
3,SMIM25,2.2644076
2,SMIM25,0.0
2,SMIM25,0.0
1,SMIM25,1.6490667
5,SMIM25,0.54174894
1,SMIM25,1.2577856
5,SMIM25,0.64784163
1,SMIM25,1.0902822
2,SMIM25,0.86705065
2,SMIM25,0.0
0,SMIM25,1.0830578
0,SMIM25,1.2327714
0,SMIM25,0.0
1,SMIM25,0.0
3,SMIM25,2.1735437
2,SMIM25,0.0
2,SMIM25,0.0
3,SMIM25,1.5473303
1,SMIM25,1.5392283
0,SMIM25,1.030089
2,SMIM25,0.98051685
4,SMIM25,0.0
3,SMIM25,2.508654
3,SMIM25,2.4366372
0,SMIM25,0.0
3,SMIM25,2.3379078
1,SMIM25,0.0
0,SMIM25,0.0
1,SMIM25,0.58017385
2,SMIM25,0.99640435
1,SMIM25,1.6124848
1,SMIM25,1.017855
4,SMIM25,0.0
3,SMIM25,2.5604565
0,SMIM25,0.0
1,SMIM25,0.6684926
0,SMIM25,0.79123855
1,SMIM25,0.0
1,SMIM25,0.6725059
2,SMIM25,0.6395227
1,SMIM25,0.0
1,SMIM25,0.0
0,SMIM25,0.0
1,SMIM25,0.58446383
3,SMIM25,2.2548516
0,SMIM25,0.0
3,SMIM25,2.5184708
6,SMIM25,0.0
0,SMIM25,1.4695504
2,SMIM25,0.0
0,SMIM25,0.0
2,SMIM25,1.4738175
1,SMIM25,0.0
0,SMIM25,0.98020464
1,SMIM25,0.0
2,SMIM25,0.0
0,SMIM25,0.6537198
0,SMIM25,0.0
1,SMIM25,1.3010311
0,SMIM25,0.6997112
2,SMIM25,0.5905017
6,SMIM25,0.6965141
1,SMIM25,0.8729332
4,SMIM25,0.90810466
2,SMIM25,0.0
2,SMIM25,0.0
1,SMIM25,0.0
3,SMIM25,2.1638863
2,SMIM25,1.0059872
4,SMIM25,0.0
0,SMIM25,0.0
0,SMIM25,1.5333602
2,SMIM25,1.7498528
4,SMIM25,1.4345971
2,SMIM25,1.1206204
0,SMIM25,0.0
5,SMIM25,0.0
0,SMIM25,1.0683539
8,SMIM25,0.0
1,SMIM25,0.0
3,SMIM25,2.5939379
2,SMIM25,0.0
7,SMIM25,0.0
2,SMIM25,0.7304809
2,SMIM25,0.0
5,SMIM25,0.0
4,SMIM25,0.9801007
1,SMIM25,2.2311983
3,SMIM25,1.9325514
8,SMIM25,0.67245895
3,SMIM25,2.2818797
0,SMIM25,0.0
0,SMIM25,0.87131315
0,SMIM25,0.78102624
7,SMIM25,0.5959369
1,SMIM25,0.0
0,SMIM25,1.1605037
2,SMIM25,0.526616
0,SMIM25,1.0331684
2,SMIM25,0.58264226
1,SMIM25,0.554563
4,SMIM25,0.6470604
6,SMIM25,0.0
5,SMIM25,0.0
3,SMIM25,1.0635492
1,SMIM25,0.5512704
5,SMIM25,0.0
1,SMIM25,0.0
1,SMIM25,1.7414976
2,SMIM25,0.81772584
