UMAP_1,UMAP_2,leiden,cell_type
7.2890964,1.4997605,6,T cells
-6.3575296,1.969858,3,T cells
9.396596,1.3984792,0,T cells
9.409343,0.9811601,0,T cells
7.462784,9.2716055,2,T cells
-5.6486883,2.8079598,3,T cells
8.478655,9.769396,2,T cells
10.278433,0.88407135,0,T cells
10.1637745,6.7967362,4,T cells
9.779033,4.2683535,4,T cells
10.572706,0.14890575,0,T cells
6.8694124,0.64501274,6,T cells
7.3065786,9.907637,2,T cells
9.39881,6.5564723,4,T cells
11.011339,5.796892,1,T cells
4.700771,6.082885,5,T cells
10.904069,4.364659,1,T cells
5.4559865,7.926078,5,T cells
10.152534,0.79283875,0,T cells
11.20557,5.4175453,1,T cells
-5.6405597,2.9668994,3,T cells
8.994158,1.3606828,0,T cells
11.257691,6.2449083,1,T cells
7.8935456,9.134577,2,T cells
5.04354,7.7809443,5,T cells
9.027072,2.3445582,0,T cells
10.837187,5.9653444,1,T cells
11.009184,0.97993517,0,T cells
11.821079,6.0264573,1,T cells
9.409497,0.7233795,0,T cells
11.652192,4.5243106,1,T cells
8.720097,7.127373,4,T cells
11.304093,6.212056,1,T cells
7.494152,10.138312,2,T cells
11.703546,1.1528478,0,T cells
11.240995,5.2666287,1,T cells
11.391009,7.5233154,1,T cells
7.649067,6.4379516,4,T cells
9.683381,2.1032987,0,T cells
11.053273,6.1287785,1,T cells
9.384099,0.56045526,0,T cells
11.278157,2.222272,0,T cells
9.580279,4.6247177,4,T cells
10.228643,1.0881788,0,T cells
8.27844,10.239812,2,T cells
10.045101,5.1168103,4,T cells
7.6391797,0.45225313,6,T cells
-3.7493749,1.3233063,3,T cells
11.201726,5.4396534,1,T cells
11.2872305,0.22135536,0,T cells
11.528094,3.895362,1,T cells
7.0888343,0.21165368,6,T cells
11.880903,6.580077,1,T cells
9.511812,2.6378188,0,T cells
11.383625,4.2788363,1,T cells
10.376479,1.8687103,0,T cells
6.6772585,10.208884,2,T cells
9.897845,5.486911,4,T cells
7.7700195,7.9972043,2,T cells
12.140861,6.6052,1,T cells
7.6065283,8.571504,2,T cells
12.176464,7.173503,1,T cells
-5.8110237,2.829846,3,T cells
10.815307,0.35556698,0,T cells
7.7019258,10.356019,2,T cells
11.600939,7.233442,1,T cells
-3.795451,1.1976869,3,T cells
10.421396,1.5174316,0,T cells
-4.568841,1.4006187,3,T cells
5.8560443,8.115144,5,T cells
11.266189,6.9339843,1,T cells
12.7314005,6.384896,1,T cells
8.04151,10.122978,2,T cells
7.1966434,1.8215497,6,T cells
10.964172,7.0829234,1,T cells
