genes,rank
CD2,334.4836897551665
MBP,272.63652295863227
CD69,247.82992703914456
GZMA,232.81463318093427
CD3E,224.8159461524673
CD52,216.1481200847282
IL2RG,207.72761067926237
CCL5,204.7825915668476
DUSP2,197.65576031516602
TRBC2,192.77295997869828
TXNIP,182.35980967659248
CD3D,176.18528048636432
IL32,174.30398584151018
PTPRC,173.52460710890932
PTPRCAP,169.7587599376984
HLA-B,169.59187672494534
GBP5,162.14846926114953
HLA-C,155.5707893474119
CYTIP,153.34455796429873
LCP1,149.31700055276502
RAC2,146.66347671901545
TRAF3IP3,146.4311985446091
GZMK,143.6999202954747
CD3G,140.29353500928912
HCST,139.45407621019783
GIMAP7,133.4244272318512
CST7,132.51607493653003
CORO1A,131.90347013762545
BTG1,119.08748221441229
ARL4C,115.1604153981723
RESF1,112.98125513183955
EVL,111.99506629554605
ZFP36L2,109.58687319405433
LEPROTL1,107.83347227920424
IKZF3,107.40178342611122
RPS29,106.53205971767693
CTSW,105.98530571485114
RPS10,104.96993346044849
ACAP1,103.00758892709966
LINC01138,98.8065404895406
SH3BGRL3,95.40382352893968
TBC1D10C,91.6227922277257
SKAP1,91.33320787512916
SEPTIN1,89.81845122451172
HLA-F,88.422004313426
LCK,87.61517854099502
HLA-A,87.35133803663135
EMB,86.81555632411117
FAU,86.10514744592716
TRAC,83.89141053762467
CXCR4,82.87633143107145
TC2N,82.83977816195576
RPS27,82.32446164660169
CCNH,81.2069091411488
RPL36AL,78.94276601159936
PLAAT4,78.05906445202064
RPL28,76.9792590145555
ISG20,76.84312600307584
BATF,76.23216660276866
OXNAD1,74.63307671890304
LSP1,74.01958025921408
PARP8,73.64532040263963
PCED1B-AS1,72.30422461141403
SARAF,71.13556562773665
ZAP70,71.06537691516522
S100A4,70.5644828797528
RNF213,70.08579593699787
DNAJB1,69.82314692960841
RPS15A,69.72193822555634
HLA-E,68.69475466604042
CD44,67.30989749964495
RPS12,67.23853457779906
IKZF1,67.07216846006108
CD96,64.6667274805728
TNFAIP3,63.59748708704154
RPS3,63.155989219987994
ANKRD12,62.371085229497155
ITK,61.88974179624218
WIPF1,61.54116630975682
TAGAP,60.85774378311459
RPS26,60.76389471366681
RPS25,59.16593428787144
RPS27A,58.87296647892191
IFITM1,58.75506400408774
PSMB9,58.66684958450805
LTB,58.18953719394163
STK17B,57.766281554737624
STK4,56.786439436250426
ARHGEF1,56.191791775190445
TOMM7,55.81567801558107
RPL30,54.90550672718895
RPL18A,54.37930308047722
RPL41,53.93254057505618
LIME1,53.7667674119797
PYHIN1,53.762701055931615
RPS21,53.72867260161081
GMFG,51.89225577733224
NKG7,51.801004804811704
LIMD2,51.62929752541566
LINC00861,51.50433139296839
RPL35A,51.490975273330065
RPL23A,50.3087629017418
CDC42SE2,49.798230768966896
RHOH,49.57257382740062
GIMAP4,49.136389390062135
LINC01871,48.74696749335042
ETS1,48.594648773765215
LCP2,48.47182921015455
FNBP1,47.99836024025869
SOCS1,47.58417099408749
PDE7A,47.3621670721564
LY6E,47.255949592797904
PTPN22,47.094652080534765
PSME1,46.831105304054994
RPS19,46.78860905915589
CD53,46.40254492902824
RPL34,46.1187976538605
RPS15,45.74725916373343
CD8A,45.56387353612463
SH2D2A,44.93752592612143
AKNA,44.057271873597365
ARL6IP5,43.9988939709348
CTLA4,43.53407057311489
CD247,43.23076287207775
DDIT4,42.94416366853853
PPDPF,42.642472526620885
PFDN5,42.58851903459216
TMC8,42.560455017525776
CLEC2D,42.16270837281912
CDKN1B,41.744788822125074
RPL19,41.559267560467774
APOBEC3G,41.368013121595624
DUSP1,41.34604615792304
IL10RA,41.134165415564
ITGA4,40.73496893678252
CD37,40.629361646428976
GPSM3,40.17186925177802
S100A10,39.84740852566406
VAMP2,39.81428595316539
SEPTIN6,39.80168793100116
CYFIP2,39.60731837804101
SLFN5,39.601545003136785
DEF6,39.088452190715635
ARHGDIB,39.07312772041988
FYB1,38.99971605076968
SH2D1A,38.97692979851596
RPS7,38.183958675450604
RPS18,38.167546674597915
GSTK1,38.03613081803637
GZMH,38.02748404187129
RPS14,37.85664013276233
DOCK8,37.54927167890907
CD7,37.479399509925386
LAT,37.26861019089463
GPR174,36.90223217621195
CD27,36.88863830433121
CD48,36.85980741751338
ARHGAP9,36.84117913834635
PIP4K2A,36.258949621797115
RPL18,35.9778574529589
SPOCK2,35.928713336299936
CNBP,35.3057888217624
CLEC2B,35.12850749037445
SAMD3,34.855932384696764
RPL24,34.62490674772649
EEF1D,34.57967788113484
RPL14,34.510226889646724
AHNAK,34.375548325920306
PTP4A2,34.34374940971504
RPL7A,33.91692244079882
RASAL3,33.91254742688235
GPRIN3,33.63480139199184
TMA7,33.61785355307933
BCL11B,33.4762771148364
HINT1,33.46735385888999
CASP8,33.387709730343175
ANKRD44,33.227211808267455
RPSA,33.200440032902655
EMP3,32.994289908991185
WAS,32.907223773105834
GYPC,32.75399774080648
SYNE2,32.50779290519713
FYN,32.457816537391494
ARHGAP30,32.322068166079475
S100A6,31.526766456634633
FXYD5,31.353825419816552
THEMIS,31.086120673926352
TUBA4A,30.979153038544347
SP140,30.890236680674015
TRBC1,30.866534320671345
SNRPD2,30.522994558184898
SIT1,30.488863025655363
ITGB2,30.359697620535854
ICAM3,29.988681456205452
RUNX3,29.620905987618343
RPL36,29.560092164704738
RASGRP1,29.33985720225229
RPL10,29.28839364627781
KLRK1,29.049257249978357
COMMD6,29.02156892946109
TLE5,28.783273925037257
TAP1,28.699073841624436
CCND3,28.549366885180305
IL7R,28.179603341528715
NFATC2,28.152480413379024
RPL6,28.008812363801084
IL2RB,27.928598259015143
FCMR,27.90462145811624
DPP7,27.803195971367664
IRF1,27.66632473781415
TOX,27.647708420763596
CTSC,26.614772143502645
PCBP1,26.51306191642401
GZMM,26.38511735747206
ARHGAP45,26.234258118008658
PTGER4,26.113233193219145
RPL13,26.111024379528665
TRG-AS1,26.036511686923664
TIGIT,26.03429044165352
PAXX,26.023196152247436
PET100,26.015977806566276
HSPA1B,26.00106030528854
SEMA4D,25.97922436317161
PIK3IP1,25.84278215650689
SASH3,25.675009885266352
SMCHD1,25.671932012166362
NOP53,25.630259901627735
ARF6,25.559988039765877
RPL37A,25.556140190318995
RBL2,25.271131892498783
SUN2,25.264159768258107
RPS4X,25.206232606609962
SLC38A1,25.133130978000743
CBLB,25.10264052675536
PRMT2,24.81038212119235
IL16,24.80089645266405
CKLF,24.798418836019188
MBNL1,24.699565935677974
CCDC88C,24.442601476009045
ARHGAP15,24.362364789813594
YPEL3,24.297965772164698
CD8B,24.094656676106272
SYNRG,24.056346890025797
STK17A,24.018065261612563
PIM1,23.975471743414513
TRIM22,23.932682284104462
SP100,23.84686353075359
SIRPG,23.651998264610945
MPHOSPH8,23.58300131812093
RABGAP1L,23.575503979887774
STAT4,23.570054933058397
SAMSN1,23.212690970371078
GIMAP5,23.199993105505165
ARAP2,22.71762516687134
RPL21,22.6135687796443
CIRBP,22.52408288137389
SNHG6,22.30758368564835
DIAPH1,22.24654950489771
PSTPIP1,22.14907429307412
PPP1R18,22.009056895011344
PTPN7,21.922572088848224
RPL11,21.842497713228646
CD5,21.64511592473596
CXCR6,21.612237227970677
DOK2,21.591901571759145
PRF1,21.566085855672068
MYL12A,21.561606239677772
GNG2,21.499744989316564
CXCR3,21.183906392427076
RPL17,21.130907291451408
EIF3G,21.030846487483867
GRAP2,20.909333237498227
ERN1,20.745678045476023
IFI16,20.58827983967444
RPL32,20.404883075493938
ITGAL,20.39376287991829
LPXN,20.3802168057158
PCED1B,20.305132931748446
PIK3R1,20.27519851532609
PFN1,20.270921209846744
TERF2IP,20.268355249037807
SLA2,20.172643363422498
ANAPC16,20.113529009852037
ITGB2-AS1,20.078366808484628
TRAF1,20.053322442426598
RPL29,19.955832134295925
