patient_name,cell_type,counts,percentage
p1_pre,CD8 T Cells,57,14.578005115089516
p1_pre,NK/T Cells,11,2.813299232736573
p1_pre,Naive T Cells,314,80.30690537084399
p1_pre,Regulatory T Cells,9,2.3017902813299234
p1_post,CD8 T Cells,88,22.506393861892583
p1_post,NK/T Cells,156,39.89769820971867
p1_post,Naive T Cells,0,0.0
p1_post,Regulatory T Cells,147,37.59590792838875
p6_pre,CD8 T Cells,280,39.71631205673759
p6_pre,NK/T Cells,137,19.43262411347518
p6_pre,Naive T Cells,4,0.5673758865248227
p6_pre,Regulatory T Cells,284,40.283687943262414
p6_post,CD8 T Cells,861,79.50138504155125
p6_post,NK/T Cells,120,11.080332409972298
p6_post,Naive T Cells,0,0.0
p6_post,Regulatory T Cells,102,9.418282548476455
p7_pre,CD8 T Cells,387,34.77088948787062
p7_pre,NK/T Cells,567,50.943396226415096
p7_pre,Naive T Cells,0,0.0
p7_pre,Regulatory T Cells,159,14.285714285714285
p7_post,CD8 T Cells,235,29.301745635910226
p7_post,NK/T Cells,405,50.49875311720699
p7_post,Naive T Cells,0,0.0
p7_post,Regulatory T Cells,162,20.199501246882793
