source,target,distance,count
13.0,16.0,0.15004118648644493,2.0
1.0,4.0,0.24353843268191078,2.0
3.0,10.0,0.2593462712999476,2.0
12.0,17.0,0.3189602911427979,2.0
0.0,2.0,0.3495984919449765,2.0
11.0,15.0,0.5075766265002642,2.0
6.0,21.0,0.5731591655059649,3.0
5.0,8.0,0.5905753898338983,2.0
18.0,20.0,0.7107059490564203,4.0
9.0,14.0,0.7192889498205655,2.0
22.0,25.0,0.9617096288017946,4.0
23.0,27.0,1.0173991902569963,4.0
7.0,26.0,1.0260102773270132,5.0
19.0,24.0,1.2537076033525765,5.0
30.0,31.0,1.4978984320167525,10.0
29.0,32.0,1.6411205926638974,14.0
28.0,33.0,1.8192575075206885,18.0
