leiden,gene,expression
2,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
13,CD3D,0.0
9,CD3D,0.0
13,CD3D,0.0
10,CD3D,0.0
16,CD3D,0.0
7,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
9,CD3D,0.0
2,CD3D,0.0
8,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
16,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
9,CD3D,0.0
13,CD3D,0.0
8,CD3D,0.0
3,CD3D,0.0
16,CD3D,0.0
13,CD3D,0.0
2,CD3D,0.0
8,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
9,CD3D,0.0
13,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
1,CD3D,0.0
10,CD3D,0.0
8,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
9,CD3D,0.0
7,CD3D,0.0
10,CD3D,0.0
16,CD3D,0.0
10,CD3D,0.0
6,CD3D,0.0
9,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
8,CD3D,0.0
10,CD3D,0.0
16,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
10,CD3D,0.0
13,CD3D,0.0
13,CD3D,0.0
10,CD3D,0.0
16,CD3D,0.0
16,CD3D,0.0
2,CD3D,0.0
2,CD3D,0.0
13,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
13,CD3D,0.0
1,CD3D,0.0
8,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.0
4,CD3D,0.0
3,CD3D,0.0
6,CD3D,0.0
9,CD3D,0.0
9,CD3D,0.0
3,CD3D,0.0
8,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
2,CD3D,0.0
10,CD3D,0.0
6,CD3D,0.0
1,CD3D,0.0
4,CD3D,1.4536465
16,CD3D,0.0
6,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
8,CD3D,0.0
2,CD3D,0.0
13,CD3D,0.0
1,CD3D,0.0
3,CD3D,0.0
2,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
8,CD3D,0.0
1,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
16,CD3D,0.0
8,CD3D,0.0
9,CD3D,0.0
9,CD3D,0.0
2,CD3D,0.0
10,CD3D,0.0
2,CD3D,0.0
6,CD3D,0.0
3,CD3D,0.0
9,CD3D,0.0
8,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
1,CD3D,0.0
16,CD3D,0.0
2,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
4,CD3D,0.0
13,CD3D,0.0
1,CD3D,2.80214
13,CD3D,0.0
13,CD3D,0.0
16,CD3D,0.0
8,CD3D,0.0
9,CD3D,0.0
10,CD3D,0.0
16,CD3D,0.0
0,CD3D,0.0
9,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
