source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
GO:BP,GO:0002181,cytoplasmic translation,4.221136085503383e-10,True,"""The chemical reactions and pathways resulting in the formation of a protein in the cytoplasm. This is a ribosome-mediated process in which the information in messenger RNA (mRNA) is used to specify the sequence of amino acids in the protein."" [GOC:hjd]",160,40,10,21017,0.25,0.0625,query_1,['GO:0006412'],"['RPS3', 'RPS29', 'RPL3', 'RPS12', 'RPS25', 'RPL23A', 'RPS27', 'RPSA', 'RPS18', 'RPS21']","[['NAS', 'IC'], ['IDA', 'NAS', 'IC'], ['IC'], ['NAS', 'IC'], ['NAS', 'IC'], ['NAS', 'IC'], ['IC'], ['IBA', 'NAS', 'IC'], ['NAS', 'IC'], ['IDA', 'NAS', 'IC']]"
GO:BP,GO:0042110,T cell activation,5.573520834921032e-10,True,"""The change in morphology and behavior of a mature or immature T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."" [GOC:mgi_curators, ISBN:0781735149]",558,40,14,21017,0.35,0.025089605734767026,query_1,['GO:0046649'],"['CD3E', 'CD3D', 'LCK', 'RPS3', 'CD3G', 'IL7R', 'CD7', 'CD247', 'TCF7', 'CD2', 'BCL11B', 'LAT', 'CD27', 'RORA']","[['IMP', 'IBA', 'NAS', 'IEA'], ['ISS', 'IBA', 'NAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IMP'], ['IBA', 'NAS'], ['IEA'], ['TAS'], ['NAS'], ['ISS'], ['TAS', 'NAS'], ['IEA'], ['IMP', 'IBA', 'TAS'], ['IEA'], ['IEA']]"
GO:BP,GO:0006955,immune response,2.746329242606332e-08,True,"""Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."" [GO_REF:0000022, GOC:add]",2008,40,20,21017,0.5,0.0099601593625498,query_1,"['GO:0002376', 'GO:0050896']","['CD3E', 'IL32', 'CD3D', 'LCK', 'RPS3', 'CD3G', 'IL7R', 'CD7', 'CD247', 'TCF7', 'GZMM', 'CD2', 'HSPA8', 'ETS1', 'LAT', 'CD27', 'RORA', 'CTSW', 'LTB', 'SKAP1']","[['NAS', 'IEA'], ['TAS', 'IEA'], ['NAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'NAS'], ['IMP'], ['NAS', 'IEA'], ['TAS', 'IEA'], ['TAS', 'IEA'], ['IDA', 'IBA', 'NAS', 'IEA'], ['TAS'], ['IEA'], ['IDA'], ['IDA'], ['TAS'], ['IDA', 'IBA', 'IEA'], ['NAS'], ['IEA'], ['TAS'], ['IEA'], ['IDA', 'IMP', 'IEA']]"
GO:BP,GO:0046649,lymphocyte activation,2.746329242606332e-08,True,"""A change in morphology and behavior of a lymphocyte resulting from exposure to a specific antigen, mitogen, cytokine, chemokine, cellular ligand, or soluble factor."" [GOC:mgi_curators, ISBN:0781735149]",787,40,14,21017,0.35,0.017789072426937738,query_1,['GO:0045321'],"['CD3E', 'CD3D', 'LCK', 'RPS3', 'CD3G', 'IL7R', 'CD7', 'CD247', 'TCF7', 'CD2', 'BCL11B', 'LAT', 'CD27', 'RORA']","[['IMP', 'IBA', 'NAS', 'IEA'], ['ISS', 'IBA', 'NAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'NAS'], ['IMP'], ['IBA', 'NAS'], ['IEA'], ['TAS'], ['NAS'], ['ISS'], ['IDA', 'TAS', 'NAS'], ['IEA'], ['IMP', 'IBA', 'TAS'], ['NAS', 'IEA'], ['IEA']]"
GO:BP,GO:0050852,T cell receptor signaling pathway,4.732191012431668e-08,True,"""The series of molecular signals initiated by the cross-linking of an antigen receptor on a T cell."" [GOC:add]",139,40,8,21017,0.2,0.05755395683453238,query_1,['GO:0050851'],"['CD3E', 'CD3D', 'LCK', 'RPS3', 'CD3G', 'CD247', 'LAT', 'SKAP1']","[['NAS', 'IEA'], ['NAS'], ['TAS', 'NAS'], ['IMP'], ['NAS'], ['IBA', 'NAS', 'IEA'], ['IDA'], ['IMP']]"
GO:BP,GO:0030217,T cell differentiation,5.279420366607328e-08,True,"""The process in which a precursor cell type acquires characteristics of a more mature T-cell. A T cell is a type of lymphocyte whose definin characteristic is the expression of a T cell receptor complex."" [GO_REF:0000022, GOC:jid, GOC:mah]",312,40,10,21017,0.25,0.03205128205128205,query_1,"['GO:0030098', 'GO:0042110']","['CD3E', 'CD3D', 'LCK', 'CD3G', 'IL7R', 'TCF7', 'CD2', 'BCL11B', 'CD27', 'RORA']","[['IBA', 'IEA'], ['ISS', 'IBA', 'IEA'], ['IMP', 'IBA'], ['IBA'], ['IEA'], ['ISS'], ['NAS'], ['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0045321,leukocyte activation,1.8628135626491886e-07,True,"""A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor."" [GOC:add]",951,40,14,21017,0.35,0.014721345951629864,query_1,"['GO:0001775', 'GO:0002376']","['CD3E', 'CD3D', 'LCK', 'RPS3', 'CD3G', 'IL7R', 'CD7', 'CD247', 'TCF7', 'CD2', 'BCL11B', 'LAT', 'CD27', 'RORA']","[['IMP', 'IBA', 'NAS', 'IEA'], ['ISS', 'IBA', 'NAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'NAS'], ['IMP'], ['IBA', 'NAS'], ['IEA'], ['TAS'], ['NAS'], ['ISS'], ['IDA', 'TAS', 'NAS'], ['IEA'], ['IMP', 'IBA', 'TAS', 'IEA'], ['NAS', 'IEA'], ['IEA']]"
GO:BP,GO:0050851,antigen receptor-mediated signaling pathway,3.862323122488126e-07,True,"""The series of molecular signals initiated by the cross-linking of an antigen receptor on a B or T cell."" [GOC:add]",192,40,8,21017,0.2,0.041666666666666664,query_1,['GO:0002429'],"['CD3E', 'CD3D', 'LCK', 'RPS3', 'CD3G', 'CD247', 'LAT', 'SKAP1']","[['NAS', 'IEA'], ['NAS'], ['IBA', 'TAS', 'NAS'], ['IMP'], ['NAS'], ['IBA', 'NAS', 'IEA'], ['IDA'], ['IMP']]"
GO:BP,GO:0002376,immune system process,5.239703183648944e-07,True,"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]",2796,40,21,21017,0.525,0.0075107296137339056,query_1,['GO:0008150'],"['CD3E', 'IL32', 'CD3D', 'LCK', 'RPS3', 'CD3G', 'IL7R', 'CD7', 'CD247', 'TCF7', 'GZMM', 'CD2', 'BCL11B', 'HSPA8', 'ETS1', 'LAT', 'CD27', 'RORA', 'CTSW', 'LTB', 'SKAP1']","[['IMP', 'IBA', 'NAS', 'IEA'], ['TAS', 'IEA'], ['ISS', 'IBA', 'NAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'NAS'], ['IMP'], ['IBA', 'NAS', 'IEA'], ['TAS', 'IEA'], ['TAS', 'IEA'], ['IDA', 'IBA', 'NAS', 'IEA'], ['ISS', 'TAS'], ['IEA'], ['IDA', 'TAS', 'NAS'], ['IEA'], ['IDA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['NAS', 'IEA'], ['IEA'], ['TAS'], ['IEA'], ['IDA', 'IMP', 'IEA']]"
GO:BP,GO:0030098,lymphocyte differentiation,7.567350385215792e-07,True,"""The process in which a relatively unspecialized precursor cell acquires specialized features of a lymphocyte. A lymphocyte is a leukocyte commonly found in the blood and lymph that has the characteristics of a large nucleus, a neutral staining cytoplasm, and prominent heterochromatin."" [CL:0000542, GOC:go_curators]",438,40,10,21017,0.25,0.0228310502283105,query_1,"['GO:0046649', 'GO:1903131']","['CD3E', 'CD3D', 'LCK', 'CD3G', 'IL7R', 'TCF7', 'CD2', 'BCL11B', 'CD27', 'RORA']","[['IBA', 'IEA'], ['ISS', 'IBA', 'IEA'], ['IMP', 'IBA'], ['IBA'], ['IEA'], ['ISS'], ['NAS'], ['IEA'], ['NAS', 'IEA'], ['IEA']]"
