Term_ID,Term,p_value,intersection_size,avg_log2fc,intersecting_genes,calculated_intersection_count
GO:0002181,cytoplasmic translation,4.221136085503383e-10,10,1.162422525882721,"RPS3,RPS29,RPL3,RPS12,RPS25,RPL23A,RPS27,RPSA,RPS18,RPS21",10
GO:0042110,T cell activation,5.573520834921032e-10,14,4.397061109542847,"CD3E,CD3D,LCK,RPS3,CD3G,IL7R,CD7,CD247,TCF7,CD2,BCL11B,LAT,CD27,RORA",14
GO:0006955,immune response,2.746329242606332e-08,20,4.068207198381424,"CD3E,IL32,CD3D,LCK,RPS3,CD3G,IL7R,CD7,CD247,TCF7,GZMM,CD2,HSPA8,ETS1,LAT,CD27,RORA,CTSW,LTB,SKAP1",20
GO:0046649,lymphocyte activation,2.746329242606332e-08,14,4.397061109542847,"CD3E,CD3D,LCK,RPS3,CD3G,IL7R,CD7,CD247,TCF7,CD2,BCL11B,LAT,CD27,RORA",14
GO:0050852,T cell receptor signaling pathway,4.732191012431668e-08,8,4.176349192857742,"CD3E,CD3D,LCK,RPS3,CD3G,CD247,LAT,SKAP1",8
GO:0030217,T cell differentiation,5.279420366607328e-08,10,4.721713900566101,"CD3E,CD3D,LCK,CD3G,IL7R,TCF7,CD2,BCL11B,CD27,RORA",10
GO:0045321,leukocyte activation,1.8628135626491886e-07,14,4.397061109542847,"CD3E,CD3D,LCK,RPS3,CD3G,IL7R,CD7,CD247,TCF7,CD2,BCL11B,LAT,CD27,RORA",14
GO:0050851,antigen receptor-mediated signaling pathway,3.862323122488126e-07,8,4.176349192857742,"CD3E,CD3D,LCK,RPS3,CD3G,CD247,LAT,SKAP1",8
GO:0002376,immune system process,5.239703183648944e-07,21,4.097900827725728,"CD3E,IL32,CD3D,LCK,RPS3,CD3G,IL7R,CD7,CD247,TCF7,GZMM,CD2,BCL11B,HSPA8,ETS1,LAT,CD27,RORA,CTSW,LTB,SKAP1",21
GO:0030098,lymphocyte differentiation,7.567350385215792e-07,10,4.721713900566101,"CD3E,CD3D,LCK,CD3G,IL7R,TCF7,CD2,BCL11B,CD27,RORA",10
GO:0001775,cell activation,7.567350385215792e-07,14,4.397061109542847,"CD3E,CD3D,LCK,RPS3,CD3G,IL7R,CD7,CD247,TCF7,CD2,BCL11B,LAT,CD27,RORA",14
GO:0042274,ribosomal small subunit biogenesis,3.6562592366169843e-06,6,1.1263440648714702,"RPS12,RPS25,RPS27,RPSA,RPS21,NPM1",6
GO:1903131,mononuclear cell differentiation,3.818158116879579e-06,10,4.721713900566101,"CD3E,CD3D,LCK,CD3G,IL7R,TCF7,CD2,BCL11B,CD27,RORA",10
GO:0002682,regulation of immune system process,4.784252826128216e-06,15,3.9631929636001586,"CD3E,CD3D,LCK,RPS3,CD3G,IL7R,CD247,TCF7,CD2,HSPA8,ETS1,LAT,CD27,RORA,SKAP1",15
GO:0006412,translation,5.490921742359905e-06,11,1.1542773246765137,"RPS3,RPS29,RPL3,RPS12,RPS25,RPL23A,RPS27,RPSA,RPS18,RPS21,NPM1",11
GO:0046629,gamma-delta T cell activation,6.174239038709873e-06,4,4.759169936180115,"CD3E,CD3G,CD247,TCF7",4
GO:0002250,adaptive immune response,6.466188191561826e-06,11,4.581171144138683,"CD3E,CD3D,CD3G,IL7R,CD7,CD247,GZMM,LAT,CD27,RORA,SKAP1",11
GO:0002429,immune response-activating cell surface receptor signaling pathway,6.466188191561826e-06,8,4.176349192857742,"CD3E,CD3D,LCK,RPS3,CD3G,CD247,LAT,SKAP1",8
GO:0002768,immune response-regulating cell surface receptor signaling pathway,1.1971467869963027e-05,8,4.176349192857742,"CD3E,CD3D,LCK,RPS3,CD3G,CD247,LAT,SKAP1",8
GO:0002521,leukocyte differentiation,1.2712464035073566e-05,10,4.721713900566101,"CD3E,CD3D,LCK,CD3G,IL7R,TCF7,CD2,BCL11B,CD27,RORA",10
GO:0002757,immune response-activating signaling pathway,1.2712464035073566e-05,9,3.8681093984180026,"CD3E,CD3D,LCK,RPS3,CD3G,CD247,HSPA8,LAT,SKAP1",9
GO:0002764,immune response-regulating signaling pathway,1.9284555052834787e-05,9,3.8681093984180026,"CD3E,CD3D,LCK,RPS3,CD3G,CD247,HSPA8,LAT,SKAP1",9
GO:0002684,positive regulation of immune system process,2.1761464635090518e-05,12,4.039058198531468,"CD3E,CD3D,LCK,RPS3,CD3G,IL7R,CD247,CD2,HSPA8,LAT,CD27,SKAP1",12
GO:0050863,regulation of T cell activation,2.283871411659965e-05,8,4.101739585399628,"CD3E,LCK,RPS3,IL7R,TCF7,CD2,LAT,CD27",8
GO:0002253,activation of immune response,3.1653460632754166e-05,9,3.8681093984180026,"CD3E,CD3D,LCK,RPS3,CD3G,CD247,HSPA8,LAT,SKAP1",9
GO:0033077,T cell differentiation in thymus,3.184164815864567e-05,5,5.16689281463623,"CD3E,CD3D,CD3G,IL7R,BCL11B",5
GO:1903039,positive regulation of leukocyte cell-cell adhesion,3.240608498787272e-05,7,3.733034610748291,"CD3E,LCK,RPS3,IL7R,ETS1,CD27,SKAP1",7
GO:0002694,regulation of leukocyte activation,3.707239149131375e-05,9,4.124382072024876,"CD3E,LCK,RPS3,IL7R,TCF7,CD2,LAT,CD27,RORA",9
GO:0007166,cell surface receptor signaling pathway,4.320450619397591e-05,18,3.759810891416338,"CD3E,CD3D,LCK,RPS3,CD3G,IL7R,CD7,EVL,RPS12,CD247,TCF7,CD2,LAT,CD27,RORA,AAK1,LTB,SKAP1",18
GO:0046631,alpha-beta T cell activation,4.6374576226479e-05,6,4.885275920232137,"CD3E,CD3D,CD3G,CD247,BCL11B,RORA",6
GO:0030097,hemopoiesis,5.17116176450169e-05,11,4.53289363600991,"CD3E,CD3D,LCK,CD3G,IL7R,TCF7,CD2,BCL11B,ETS1,CD27,RORA",11
GO:0043368,positive T cell selection,5.558846504577365e-05,4,5.111132979393005,"CD3E,CD3D,CD3G,BCL11B",4
GO:0050865,regulation of cell activation,6.815362202755255e-05,9,4.124382072024876,"CD3E,LCK,RPS3,IL7R,TCF7,CD2,LAT,CD27,RORA",9
GO:0022409,positive regulation of cell-cell adhesion,7.630819458544064e-05,7,3.733034610748291,"CD3E,LCK,RPS3,IL7R,ETS1,CD27,SKAP1",7
GO:0045785,positive regulation of cell adhesion,9.634330074570215e-05,8,3.71771577000618,"CD3E,LCK,RPS3,IL7R,ETS1,CD27,SPOCK2,SKAP1",8
GO:0045059,positive thymic T cell selection,9.780031184914185e-05,3,5.250919500986735,"CD3E,CD3D,CD3G",3
GO:0051249,regulation of lymphocyte activation,0.00012155862923618198,8,4.101739585399628,"CD3E,LCK,RPS3,IL7R,TCF7,CD2,LAT,CD27",8
GO:0045058,T cell selection,0.0001338071146739505,4,5.111132979393005,"CD3E,CD3D,CD3G,BCL11B",4
GO:0070228,regulation of lymphocyte apoptotic process,0.00014980683384668725,4,4.726416885852814,"CD3G,IL7R,BCL11B,CD27",4
GO:0050776,regulation of immune response,0.00015490098077447284,10,4.020291674137115,"CD3E,CD3D,LCK,RPS3,CD3G,IL7R,CD247,HSPA8,LAT,SKAP1",10
GO:1903037,regulation of leukocyte cell-cell adhesion,0.00015651792157659794,7,3.733034610748291,"CD3E,LCK,RPS3,IL7R,ETS1,CD27,SKAP1",7
GO:0050778,positive regulation of immune response,0.00021824441132983923,9,3.8681093984180026,"CD3E,CD3D,LCK,RPS3,CD3G,CD247,HSPA8,LAT,SKAP1",9
GO:0048584,positive regulation of response to stimulus,0.0002777839461587161,15,3.448434321085612,"CD3E,CD3D,LCK,RPS3,CD3G,IL7R,RPS12,CD247,HSPA8,ETS1,LAT,CD27,AAK1,LTB,SKAP1",15
