Term_ID,Term,p_value,intersection_size,avg_log2fc,intersecting_genes,calculated_intersection_count
GO:0022627,cytosolic small ribosomal subunit,2.797356496885679e-12,8,1.1726495325565338,"RPS3,RPS29,RPS12,RPS25,RPS27,RPSA,RPS18,RPS21",8
GO:0022626,cytosolic ribosome,2.797356496885679e-12,10,1.162422525882721,"RPS3,RPS29,RPL3,RPS12,RPS25,RPL23A,RPS27,RPSA,RPS18,RPS21",10
GO:0015935,small ribosomal subunit,2.8573136939860352e-12,9,1.161557952562968,"RPS3,RPS29,RPS12,RPS25,RPS27,RPSA,RPS18,RPS21,NPM1",9
GO:0044391,ribosomal subunit,5.344940480311334e-12,11,1.1542773246765137,"RPS3,RPS29,RPL3,RPS12,RPS25,RPL23A,RPS27,RPSA,RPS18,RPS21,NPM1",11
GO:0042105,alpha-beta T cell receptor complex,2.1460701076827546e-08,4,5.078590035438538,"CD3E,CD3D,CD3G,CD247",4
GO:0005840,ribosome,1.908369084402064e-07,11,1.1542773246765137,"RPS3,RPS29,RPL3,RPS12,RPS25,RPL23A,RPS27,RPSA,RPS18,RPS21,NPM1",11
GO:0042106,gamma-delta T cell receptor complex,2.3723507894041035e-07,3,5.0025655428568525,"CD3E,CD3G,CD247",3
GO:0070161,anchoring junction,3.6442696476717248e-06,12,2.5286265512307486,"CD3E,RPS3,RPS29,RPL3,EVL,RPS18,CD2,HSPA8,LAT,NPM1,SYNE2,SKAP1",12
GO:0030054,cell junction,1.3506149516469918e-05,17,2.1670064014547012,"CD3E,RPS3,RPS29,RPL3,EVL,RPS25,RPL23A,RPS27,RPS18,RPS21,CD2,HSPA8,LAT,NPM1,AAK1,SYNE2,SKAP1",17
GO:0005925,focal adhesion,3.674951430514608e-05,8,1.6750973910093307,"RPS3,RPS29,RPL3,EVL,RPS18,HSPA8,NPM1,SYNE2",8
GO:0001772,immunological synapse,3.94027834639992e-05,4,4.268464088439941,"CD3E,LCK,LAT,SKAP1",4
GO:0030055,cell-substrate junction,3.94027834639992e-05,8,1.6750973910093307,"RPS3,RPS29,RPL3,EVL,RPS18,HSPA8,NPM1,SYNE2",8
GO:0042101,T cell receptor complex,0.00012720255193735753,5,4.703643417358398,"CD3E,CD3D,CD3G,CD247,SKAP1",5
GO:0098552,side of membrane,0.00016465432496462427,9,4.111660692426893,"CD3E,CD3D,LCK,CD3G,IL7R,RPS29,CD2,HSPA8,CD27",9
