source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
GO:MF,GO:0003735,structural constituent of ribosome,3.876817791504383e-06,True,"""The action of a molecule that contributes to the structural integrity of the ribosome."" [GOC:mah]",449,41,10,20196,0.24390243902439024,0.022271714922048998,query_1,['GO:0005198'],"['RPS3', 'RPS29', 'RPL3', 'RPS12', 'RPS25', 'RPL23A', 'RPS27', 'RPSA', 'RPS18', 'RPS21']","[['IDA', 'HDA', 'IBA', 'NAS', 'IEA'], ['IDA', 'HDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['IDA', 'HDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'HDA', 'IBA'], ['IDA', 'IBA', 'NAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'HDA', 'IEA'], ['IDA', 'HDA', 'IEA'], ['IDA', 'HDA', 'IBA', 'IEA']]"
GO:MF,GO:0042608,T cell receptor binding,0.0001520323167434461,True,"""Binding to a T cell receptor, the antigen-recognizing receptor on the surface of T cells."" [GOC:jl]",11,41,3,20196,0.07317073170731707,0.2727272727272727,query_1,"['GO:0005102', 'GO:0044877']","['CD3E', 'LCK', 'CD3G']","[['NAS'], ['IPI'], ['NAS']]"
GO:MF,GO:0019843,rRNA binding,0.0008170299451935336,True,"""Binding to a ribosomal RNA."" [GOC:jl]",67,41,4,20196,0.0975609756097561,0.05970149253731343,query_1,['GO:0003723'],"['RPS3', 'RPL23A', 'RPS18', 'NPM1']","[['IDA'], ['IEA'], ['IEA'], ['EXP', 'IEA']]"
GO:MF,GO:0019900,kinase binding,0.0013961598379316862,True,"""Binding to a kinase, any enzyme that catalyzes the transfer of a phosphate group."" [GOC:jl]",790,41,9,20196,0.21951219512195122,0.01139240506329114,query_1,['GO:0019899'],"['CD3E', 'LCK', 'RPS3', 'LDHB', 'CD247', 'CD2', 'LAT', 'NPM1', 'SKAP1']","[['NAS'], ['IPI'], ['IPI'], ['IEA'], ['IPI'], ['IEA'], ['IPI', 'IBA'], ['IPI'], ['IPI']]"
GO:MF,GO:0005198,structural molecule activity,0.002602028389709431,True,"""The action of a molecule that contributes to the structural integrity of a complex."" [GOC:mah, GOC:vw]",1104,41,10,20196,0.24390243902439024,0.009057971014492754,query_1,['GO:0003674'],"['RPS3', 'RPS29', 'RPL3', 'RPS12', 'RPS25', 'RPL23A', 'RPS27', 'RPSA', 'RPS18', 'RPS21']","[['IDA', 'HDA', 'IBA', 'NAS', 'IEA'], ['IDA', 'HDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['IDA', 'HDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'HDA', 'IBA'], ['IDA', 'IBA', 'NAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'HDA', 'IEA'], ['IDA', 'HDA', 'IEA'], ['IDA', 'HDA', 'IBA', 'IEA']]"
GO:MF,GO:0019901,protein kinase binding,0.002946215013095731,True,"""Binding to a protein kinase, any enzyme that catalyzes the transfer of a phosphate group, usually from ATP, to a protein substrate."" [GOC:jl]",706,41,8,20196,0.1951219512195122,0.0113314447592068,query_1,['GO:0019900'],"['CD3E', 'LCK', 'RPS3', 'CD247', 'CD2', 'LAT', 'NPM1', 'SKAP1']","[['NAS'], ['IPI'], ['IPI'], ['IPI'], ['IEA'], ['IPI', 'IBA'], ['IPI'], ['IPI']]"
GO:MF,GO:0030159,signaling receptor complex adaptor activity,0.004883752363778508,True,"""The binding activity of a molecule that provides a physical support for the assembly of a multiprotein receptor signaling complex."" [GOC:mah]",50,41,3,20196,0.07317073170731707,0.06,query_1,['GO:0035591'],"['CD3E', 'CD3G', 'LAT']","[['NAS'], ['NAS'], ['IDA']]"
GO:MF,GO:0005515,protein binding,0.012564247284084595,True,"""Binding to a protein."" [GOC:go_curators]",14865,41,39,20196,0.9512195121951219,0.0026236125126135215,query_1,['GO:0005488'],"['CD3E', 'IL32', 'CD3D', 'LCK', 'RPS3', 'CD3G', 'IL7R', 'LDHB', 'RPL3', 'CD7', 'EVL', 'RPS12', 'GIMAP7', 'CD247', 'TCF7', 'ARL4C', 'RPS25', 'RPL23A', 'RPS27', 'RPSA', 'GZMM', 'RPS18', 'RPS21', 'CD2', 'NOSIP', 'BCL11B', 'ACAP1', 'HSPA8', 'ETS1', 'LAT', 'CD27', 'RORA', 'NPM1', 'SPOCK2', 'AAK1', 'SYNE2', 'GYPC', 'LTB', 'SKAP1']","[['IDA', 'IPI', 'NAS'], ['IPI', 'IEA'], ['IDA', 'IPI'], ['IPI', 'IBA', 'IEA'], ['IDA', 'IPI'], ['IDA', 'IPI', 'NAS'], ['IPI', 'IEA'], ['IPI', 'IEA'], ['IPI'], ['IPI'], ['IPI', 'ISS', 'IBA', 'IEA'], ['IPI'], ['IPI'], ['IDA', 'IPI'], ['IDA', 'IPI'], ['IDA', 'IPI'], ['IPI'], ['IPI', 'HDA'], ['IPI'], ['IPI', 'IEA'], ['IPI'], ['IPI'], ['IPI'], ['IPI', 'IBA', 'IEA'], ['IPI'], ['IPI'], ['IPI', 'IEA'], ['IDA', 'IPI', 'HDA', 'IBA'], ['IDA', 'IPI'], ['IPI', 'IBA'], ['IPI', 'IEA'], ['IPI', 'IEA'], ['IDA', 'IPI', 'IBA', 'IEA'], ['IPI', 'IEA'], ['IDA', 'IPI'], ['IPI', 'ISS', 'IEA'], ['IPI'], ['TAS', 'IEA'], ['IDA', 'IPI', 'TAS', 'IEA']]"
GO:MF,GO:0044877,protein-containing complex binding,0.023519075335474718,True,"""Binding to a macromolecular complex."" [GOC:jl]",1279,41,9,20196,0.21951219512195122,0.007036747458952306,query_1,['GO:0005488'],"['CD3E', 'LCK', 'RPS3', 'CD3G', 'RPL23A', 'RPSA', 'HSPA8', 'NPM1', 'AAK1']","[['NAS'], ['IPI'], ['IMP'], ['NAS'], ['ISS', 'IEA'], ['IPI'], ['HDA'], ['IDA'], ['IDA']]"
GO:MF,GO:0035591,signaling adaptor activity,0.03643464229914384,True,"""The binding activity of a molecule that brings together two or more molecules in a signaling pathway, permitting those molecules to function in a coordinated way. Adaptor molecules themselves do not have catalytic activity."" [GOC:bf, PMID:19104498]",112,41,3,20196,0.07317073170731707,0.026785714285714284,query_1,['GO:0030674'],"['CD3E', 'CD3G', 'LAT']","[['NAS'], ['NAS'], ['IDA']]"
