Term_ID,Term,p_value,intersection_size,avg_log2fc,intersecting_genes,calculated_intersection_count
GO:0003735,structural constituent of ribosome,3.876817791504383e-06,10,1.162422525882721,"RPS3,RPS29,RPL3,RPS12,RPS25,RPL23A,RPS27,RPSA,RPS18,RPS21",10
GO:0042608,T cell receptor binding,0.0001520323167434461,3,5.076161066691081,"CD3E,LCK,CD3G",3
GO:0019843,rRNA binding,0.0008170299451935336,4,1.1055789589881897,"RPS3,RPL23A,RPS18,NPM1",4
GO:0019900,kinase binding,0.0013961598379316862,9,3.4416845242182412,"CD3E,LCK,RPS3,LDHB,CD247,CD2,LAT,NPM1,SKAP1",9
GO:0005198,structural molecule activity,0.002602028389709431,10,1.162422525882721,"RPS3,RPS29,RPL3,RPS12,RPS25,RPL23A,RPS27,RPSA,RPS18,RPS21",10
GO:0019901,protein kinase binding,0.002946215013095731,8,3.5773468762636185,"CD3E,LCK,RPS3,CD247,CD2,LAT,NPM1,SKAP1",8
GO:0030159,signaling receptor complex adaptor activity,0.004883752363778508,3,4.765687624613444,"CD3E,CD3G,LAT",3
GO:0005515,protein binding,0.012564247284084595,39,3.01640277948135,"CD3E,IL32,CD3D,LCK,RPS3,CD3G,IL7R,LDHB,RPL3,CD7,EVL,RPS12,GIMAP7,CD247,TCF7,ARL4C,RPS25,RPL23A,RPS27,RPSA,GZMM,RPS18,RPS21,CD2,NOSIP,BCL11B,ACAP1,HSPA8,ETS1,LAT,CD27,RORA,NPM1,SPOCK2,AAK1,SYNE2,GYPC,LTB,SKAP1",39
GO:0044877,protein-containing complex binding,0.023519075335474718,9,2.6274147166146173,"CD3E,LCK,RPS3,CD3G,RPL23A,RPSA,HSPA8,NPM1,AAK1",9
GO:0035591,signaling adaptor activity,0.03643464229914384,3,4.765687624613444,"CD3E,CD3G,LAT",3
GO:1990833,clathrin-uncoating ATPase activity,0.03747886100827239,1,1.4021910429000854,HSPA8,1
GO:0032358,oxidized pyrimidine DNA binding,0.03747886100827239,1,1.2592203617095947,RPS3,1
GO:0017124,SH3 domain binding,0.03747886100827239,3,3.5939201513926187,"CD3E,EVL,SKAP1",3
GO:0060089,molecular transducer activity,0.041330317884445515,9,4.771724727418688,"CD3E,CD3D,CD3G,IL7R,CD7,CD247,CD2,CD27,RORA",9
GO:0038023,signaling receptor activity,0.041330317884445515,9,4.771724727418688,"CD3E,CD3D,CD3G,IL7R,CD7,CD247,CD2,CD27,RORA",9
GO:0042169,SH2 domain binding,0.04704032231518671,2,3.9931225776672363,"LCK,SKAP1",2
GO:0030674,protein-macromolecule adaptor activity,0.04847502889553664,7,3.303959233420236,"CD3E,CD3G,HSPA8,ETS1,LAT,NPM1,SYNE2",7
GO:0004917,interleukin-7 receptor activity,0.05408251916560729,1,5.389932155609131,IL7R,1
GO:0001222,transcription corepressor binding,0.05623126607638031,2,3.4751064777374268,"ETS1,RORA",2
GO:0042610,CD8 receptor binding,0.07293911596860614,1,4.782388210296631,LCK,1
GO:0003723,RNA binding,0.0739828635260833,13,1.290273638872,"RPS3,RPS29,RPL3,RPS12,RPS25,RPL23A,RPS27,RPSA,RPS18,RPS21,NOSIP,HSPA8,NPM1",13
GO:0050840,extracellular matrix binding,0.07441880289276506,2,2.51491779088974,"RPSA,SPOCK2",2
GO:0060090,molecular adaptor activity,0.07827400558664638,7,3.303959233420236,"CD3E,CD3G,HSPA8,ETS1,LAT,NPM1,SYNE2",7
GO:0097100,supercoiled DNA binding,0.07827400558664638,1,1.2592203617095947,RPS3,1
GO:0140444,cytoskeleton-nuclear membrane anchor activity,0.07827400558664638,1,3.710944414138794,SYNE2,1
GO:0019904,protein domain specific binding,0.07827400558664638,5,3.3932679414749147,"CD3E,LCK,EVL,HSPA8,SKAP1",5
GO:0019899,enzyme binding,0.07827400558664638,10,3.2377351760864257,"CD3E,LCK,RPS3,LDHB,CD247,CD2,HSPA8,LAT,NPM1,SKAP1",10
GO:0005055,laminin receptor activity,0.07827400558664638,1,1.4193516969680786,RPSA,1
GO:0005102,signaling receptor binding,0.07827400558664638,8,3.8729389756917953,"CD3E,IL32,LCK,CD3G,CD2,HSPA8,AAK1,LTB",8
GO:1904841,TORC2 complex binding,0.07827400558664638,1,1.0654280185699463,RPL23A,1
GO:0042802,identical protein binding,0.07827400558664638,10,3.8034565806388856,"CD3E,CD3D,LCK,CD3G,LDHB,GIMAP7,CD247,CD2,ETS1,NPM1",10
GO:0055131,C3HC4-type RING finger domain binding,0.08555625772359236,1,1.4021910429000854,HSPA8,1
