source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
KEGG,KEGG:03010,Ribosome,1.3705288099154542e-08,True,Ribosome,153,33,10,8484,0.30303030303030304,0.06535947712418301,query_1,['KEGG:00000'],"['RPS3', 'RPS29', 'RPL3', 'RPS12', 'RPS25', 'RPL23A', 'RPS27', 'RPSA', 'RPS18', 'RPS21']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:05171,Coronavirus disease - COVID-19,3.84339558056057e-07,True,Coronavirus disease - COVID-19,231,33,10,8484,0.30303030303030304,0.04329004329004329,query_1,['KEGG:00000'],"['RPS3', 'RPS29', 'RPL3', 'RPS12', 'RPS25', 'RPL23A', 'RPS27', 'RPSA', 'RPS18', 'RPS21']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:04659,Th17 cell differentiation,3.100131948426529e-06,True,Th17 cell differentiation,105,33,7,8484,0.21212121212121213,0.06666666666666667,query_1,['KEGG:00000'],"['CD3E', 'CD3D', 'LCK', 'CD3G', 'CD247', 'LAT', 'RORA']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:04658,Th1 and Th2 cell differentiation,1.5471514582766502e-05,True,Th1 and Th2 cell differentiation,89,33,6,8484,0.18181818181818182,0.06741573033707865,query_1,['KEGG:00000'],"['CD3E', 'CD3D', 'LCK', 'CD3G', 'CD247', 'LAT']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,1.5471514582766502e-05,True,PD-L1 expression and PD-1 checkpoint pathway in cancer,89,33,6,8484,0.18181818181818182,0.06741573033707865,query_1,['KEGG:00000'],"['CD3E', 'CD3D', 'LCK', 'CD3G', 'CD247', 'LAT']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:04640,Hematopoietic cell lineage,1.5691046574700716e-05,True,Hematopoietic cell lineage,92,33,6,8484,0.18181818181818182,0.06521739130434782,query_1,['KEGG:00000'],"['CD3E', 'CD3D', 'CD3G', 'IL7R', 'CD7', 'CD2']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:04660,T cell receptor signaling pathway,6.0774856981554444e-05,True,T cell receptor signaling pathway,119,33,6,8484,0.18181818181818182,0.05042016806722689,query_1,['KEGG:00000'],"['CD3E', 'CD3D', 'LCK', 'CD3G', 'CD247', 'LAT']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:05340,Primary immunodeficiency,0.00011159471564798457,True,Primary immunodeficiency,37,33,4,8484,0.12121212121212122,0.10810810810810811,query_1,['KEGG:00000'],"['CD3E', 'CD3D', 'LCK', 'IL7R']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:05142,Chagas disease,0.005147225697113167,True,Chagas disease,101,33,4,8484,0.12121212121212122,0.039603960396039604,query_1,['KEGG:00000'],"['CD3E', 'CD3D', 'CD3G', 'CD247']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:05166,Human T-cell leukemia virus 1 infection,0.011010440791559455,True,Human T-cell leukemia virus 1 infection,218,33,5,8484,0.15151515151515152,0.022935779816513763,query_1,['KEGG:00000'],"['CD3E', 'CD3D', 'LCK', 'CD3G', 'ETS1']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:05162,Measles,0.013483536488090172,True,Measles,138,33,4,8484,0.12121212121212122,0.028985507246376812,query_1,['KEGG:00000'],"['CD3E', 'CD3D', 'CD3G', 'HSPA8']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:04064,NF-kappa B signaling pathway,0.042518545753265344,True,NF-kappa B signaling pathway,102,33,3,8484,0.09090909090909091,0.029411764705882353,query_1,['KEGG:00000'],"['LCK', 'LAT', 'LTB']","[['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:05169,Epstein-Barr virus infection,0.042518545753265344,True,Epstein-Barr virus infection,198,33,4,8484,0.12121212121212122,0.020202020202020204,query_1,['KEGG:00000'],"['CD3E', 'CD3D', 'CD3G', 'CD247']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:05170,Human immunodeficiency virus 1 infection,0.04739174434638997,True,Human immunodeficiency virus 1 infection,210,33,4,8484,0.12121212121212122,0.01904761904761905,query_1,['KEGG:00000'],"['CD3E', 'CD3D', 'CD3G', 'CD247']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:04650,Natural killer cell mediated cytotoxicity,0.06281618426927146,False,Natural killer cell mediated cytotoxicity,124,33,3,8484,0.09090909090909091,0.024193548387096774,query_1,['KEGG:00000'],"['LCK', 'CD247', 'LAT']","[['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:04060,Cytokine-cytokine receptor interaction,0.12366197553640201,False,Cytokine-cytokine receptor interaction,291,33,4,8484,0.12121212121212122,0.013745704467353952,query_1,['KEGG:00000'],"['IL32', 'IL7R', 'CD27', 'LTB']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:04015,Rap1 signaling pathway,0.21718248897665623,False,Rap1 signaling pathway,210,33,3,8484,0.09090909090909091,0.014285714285714285,query_1,['KEGG:00000'],"['EVL', 'LAT', 'SKAP1']","[['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:05135,Yersinia infection,0.4230288324048573,False,Yersinia infection,136,33,2,8484,0.06060606060606061,0.014705882352941176,query_1,['KEGG:00000'],"['LCK', 'LAT']","[['KEGG'], ['KEGG']]"
KEGG,KEGG:00640,Propanoate metabolism,0.4821679246993695,False,Propanoate metabolism,32,33,1,8484,0.030303030303030304,0.03125,query_1,['KEGG:00000'],['LDHB'],[['KEGG']]
KEGG,KEGG:04710,Circadian rhythm,0.48488607618011237,False,Circadian rhythm,34,33,1,8484,0.030303030303030304,0.029411764705882353,query_1,['KEGG:00000'],['RORA'],[['KEGG']]
KEGG,KEGG:05216,Thyroid cancer,0.4997582048264668,False,Thyroid cancer,37,33,1,8484,0.030303030303030304,0.02702702702702703,query_1,['KEGG:00000'],['TCF7'],[['KEGG']]
KEGG,KEGG:04612,Antigen processing and presentation,0.5181233691434419,False,Antigen processing and presentation,69,33,1,8484,0.030303030303030304,0.014492753623188406,query_1,['KEGG:00000'],['HSPA8'],[['KEGG']]
KEGG,KEGG:05230,Central carbon metabolism in cancer,0.5181233691434419,False,Central carbon metabolism in cancer,70,33,1,8484,0.030303030303030304,0.014285714285714285,query_1,['KEGG:00000'],['LDHB'],[['KEGG']]
KEGG,KEGG:05132,Salmonella infection,0.5181233691434419,False,Salmonella infection,249,33,2,8484,0.06060606060606061,0.008032128514056224,query_1,['KEGG:00000'],"['RPS3', 'TCF7']","[['KEGG'], ['KEGG']]"
KEGG,KEGG:05134,Legionellosis,0.5181233691434419,False,Legionellosis,56,33,1,8484,0.030303030303030304,0.017857142857142856,query_1,['KEGG:00000'],['HSPA8'],[['KEGG']]
KEGG,KEGG:05144,Malaria,0.5181233691434419,False,Malaria,49,33,1,8484,0.030303030303030304,0.02040816326530612,query_1,['KEGG:00000'],['GYPC'],[['KEGG']]
KEGG,KEGG:04664,Fc epsilon RI signaling pathway,0.5181233691434419,False,Fc epsilon RI signaling pathway,67,33,1,8484,0.030303030303030304,0.014925373134328358,query_1,['KEGG:00000'],['LAT'],[['KEGG']]
KEGG,KEGG:05211,Renal cell carcinoma,0.5181233691434419,False,Renal cell carcinoma,68,33,1,8484,0.030303030303030304,0.014705882352941176,query_1,['KEGG:00000'],['ETS1'],[['KEGG']]
KEGG,KEGG:05213,Endometrial cancer,0.5181233691434419,False,Endometrial cancer,58,33,1,8484,0.030303030303030304,0.017241379310344827,query_1,['KEGG:00000'],['TCF7'],[['KEGG']]
KEGG,KEGG:04213,Longevity regulating pathway - multiple species,0.5181233691434419,False,Longevity regulating pathway - multiple species,61,33,1,8484,0.030303030303030304,0.01639344262295082,query_1,['KEGG:00000'],['HSPA8'],[['KEGG']]
