Term_ID,Term,p_value,intersection_size,avg_log2fc,intersecting_genes,calculated_intersection_count
KEGG:03010,Ribosome,1.3705288099154542e-08,10,1.162422525882721,"RPS3,RPS29,RPL3,RPS12,RPS25,RPL23A,RPS27,RPSA,RPS18,RPS21",10
KEGG:05171,Coronavirus disease - COVID-19,3.84339558056057e-07,10,1.162422525882721,"RPS3,RPS29,RPL3,RPS12,RPS25,RPL23A,RPS27,RPSA,RPS18,RPS21",10
KEGG:04659,Th17 cell differentiation,3.100131948426529e-06,7,4.750462600163051,"CD3E,CD3D,LCK,CD3G,CD247,LAT,RORA",7
KEGG:04658,Th1 and Th2 cell differentiation,1.5471514582766502e-05,6,4.82461937268575,"CD3E,CD3D,LCK,CD3G,CD247,LAT",6
KEGG:05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,1.5471514582766502e-05,6,4.82461937268575,"CD3E,CD3D,LCK,CD3G,CD247,LAT",6
KEGG:04640,Hematopoietic cell lineage,1.5691046574700716e-05,6,5.0773147741953535,"CD3E,CD3D,CD3G,IL7R,CD7,CD2",6
KEGG:04660,T cell receptor signaling pathway,6.0774856981554444e-05,6,4.82461937268575,"CD3E,CD3D,LCK,CD3G,CD247,LAT",6
KEGG:05340,Primary immunodeficiency,0.00011159471564798457,4,5.178906798362732,"CD3E,CD3D,LCK,IL7R",4
KEGG:05142,Chagas disease,0.005147225697113167,4,5.078590035438538,"CD3E,CD3D,CD3G,CD247",4
KEGG:05166,Human T-cell leukemia virus 1 infection,0.011010440791559455,5,4.635967540740967,"CD3E,CD3D,LCK,CD3G,ETS1",5
KEGG:05162,Measles,0.013483536488090172,4,4.288737386465073,"CD3E,CD3D,CD3G,HSPA8",4
KEGG:04064,NF-kappa B signaling pathway,0.042518545753265344,3,3.5545206864674888,"LCK,LAT,LTB",3
KEGG:05169,Epstein-Barr virus infection,0.042518545753265344,4,5.078590035438538,"CD3E,CD3D,CD3G,CD247",4
KEGG:05170,Human immunodeficiency virus 1 infection,0.04739174434638997,4,5.078590035438538,"CD3E,CD3D,CD3G,CD247",4
KEGG:04650,Natural killer cell mediated cytotoxicity,0.06281618426927146,3,4.398319244384766,"LCK,CD247,LAT",3
KEGG:04060,Cytokine-cytokine receptor interaction,0.12366197553640201,4,4.126693964004517,"IL32,IL7R,CD27,LTB",4
KEGG:04015,Rap1 signaling pathway,0.21718248897665623,3,3.132028341293335,"EVL,LAT,SKAP1",3
KEGG:05135,Yersinia infection,0.4230288324048573,2,4.316678047180176,"LCK,LAT",2
KEGG:00640,Propanoate metabolism,0.4821679246993695,1,2.3563857078552246,LDHB,1
KEGG:04710,Circadian rhythm,0.48488607618011237,1,4.3055219650268555,RORA,1
KEGG:05216,Thyroid cancer,0.4997582048264668,1,4.028983116149902,TCF7,1
KEGG:04014,Ras signaling pathway,0.5181233691434419,2,3.2478294372558594,"ETS1,LAT",2
KEGG:00620,Pyruvate metabolism,0.5181233691434419,1,2.3563857078552246,LDHB,1
KEGG:00270,Cysteine and methionine metabolism,0.5181233691434419,1,2.3563857078552246,LDHB,1
KEGG:05221,Acute myeloid leukemia,0.5181233691434419,1,4.028983116149902,TCF7,1
KEGG:05217,Basal cell carcinoma,0.5181233691434419,1,4.028983116149902,TCF7,1
KEGG:04144,Endocytosis,0.5181233691434419,2,1.7394089102745056,"ACAP1,HSPA8",2
KEGG:05321,Inflammatory bowel disease,0.5181233691434419,1,4.3055219650268555,RORA,1
KEGG:00010,Glycolysis / Gluconeogenesis,0.5181233691434419,1,2.3563857078552246,LDHB,1
KEGG:04612,Antigen processing and presentation,0.5181233691434419,1,1.4021910429000854,HSPA8,1
KEGG:05213,Endometrial cancer,0.5181233691434419,1,4.028983116149902,TCF7,1
KEGG:05211,Renal cell carcinoma,0.5181233691434419,1,2.644690990447998,ETS1,1
KEGG:04664,Fc epsilon RI signaling pathway,0.5181233691434419,1,3.8509678840637207,LAT,1
KEGG:05144,Malaria,0.5181233691434419,1,1.9855211973190308,GYPC,1
KEGG:05134,Legionellosis,0.5181233691434419,1,1.4021910429000854,HSPA8,1
KEGG:05132,Salmonella infection,0.5181233691434419,2,2.6441017389297485,"RPS3,TCF7",2
KEGG:05230,Central carbon metabolism in cancer,0.5181233691434419,1,2.3563857078552246,LDHB,1
KEGG:04213,Longevity regulating pathway - multiple species,0.5181233691434419,1,1.4021910429000854,HSPA8,1
KEGG:04666,Fc gamma R-mediated phagocytosis,0.553775461966679,1,3.8509678840637207,LAT,1
KEGG:05200,Pathways in cancer,0.553775461966679,3,4.021202087402344,"IL7R,TCF7,ETS1",3
KEGG:04922,Glucagon signaling pathway,0.553775461966679,1,2.3563857078552246,LDHB,1
KEGG:05215,Prostate cancer,0.553775461966679,1,4.028983116149902,TCF7,1
KEGG:04066,HIF-1 signaling pathway,0.553775461966679,1,2.3563857078552246,LDHB,1
KEGG:05210,Colorectal cancer,0.553775461966679,1,4.028983116149902,TCF7,1
KEGG:04916,Melanogenesis,0.553775461966679,1,4.028983116149902,TCF7,1
KEGG:05412,Arrhythmogenic right ventricular cardiomyopathy,0.553775461966679,1,4.028983116149902,TCF7,1
KEGG:05323,Rheumatoid arthritis,0.553775461966679,1,2.0302059650421143,LTB,1
KEGG:05145,Toxoplasmosis,0.553775461966679,1,1.4021910429000854,HSPA8,1
KEGG:04520,Adherens junction,0.553775461966679,1,4.028983116149902,TCF7,1
KEGG:04936,Alcoholic liver disease,0.5689224401997702,1,4.028983116149902,TCF7,1
KEGG:04934,Cushing syndrome,0.5689224401997702,1,4.028983116149902,TCF7,1
KEGG:05225,Hepatocellular carcinoma,0.5689224401997702,1,4.028983116149902,TCF7,1
KEGG:04630,JAK-STAT signaling pathway,0.5689224401997702,1,5.389932155609131,IL7R,1
KEGG:04550,Signaling pathways regulating pluripotency of stem cells,0.5689224401997702,1,4.028983116149902,TCF7,1
KEGG:04514,Cell adhesion molecules,0.5689224401997702,1,4.651271343231201,CD2,1
KEGG:04390,Hippo signaling pathway,0.5689224401997702,1,4.028983116149902,TCF7,1
KEGG:04380,Osteoclast differentiation,0.5689224401997702,1,4.782388210296631,LCK,1
KEGG:04310,Wnt signaling pathway,0.5689224401997702,1,4.028983116149902,TCF7,1
KEGG:05226,Gastric cancer,0.5689224401997702,1,4.028983116149902,TCF7,1
KEGG:04210,Apoptosis,0.5689224401997702,1,4.700182914733887,CTSW,1
KEGG:04142,Lysosome,0.5689224401997702,1,4.700182914733887,CTSW,1
KEGG:04141,Protein processing in endoplasmic reticulum,0.5689224401997702,1,1.4021910429000854,HSPA8,1
KEGG:04068,FoxO signaling pathway,0.5689224401997702,1,5.389932155609131,IL7R,1
KEGG:03040,Spliceosome,0.5689224401997702,1,1.4021910429000854,HSPA8,1
KEGG:05017,Spinocerebellar ataxia,0.5689224401997702,1,4.3055219650268555,RORA,1
KEGG:04915,Estrogen signaling pathway,0.5689224401997702,1,1.4021910429000854,HSPA8,1
KEGG:05224,Breast cancer,0.5689224401997702,1,4.028983116149902,TCF7,1
KEGG:04218,Cellular senescence,0.5689224401997702,1,2.644690990447998,ETS1,1
