source,target,distance,count
8.0,9.0,0.030291273132583285,2.0
7.0,22.0,0.0432856123577785,3.0
5.0,16.0,0.09002694894141561,2.0
1.0,11.0,0.10390851817251245,2.0
23.0,24.0,0.12074226631907115,5.0
0.0,13.0,0.1372323699637762,2.0
4.0,15.0,0.1638484310435374,2.0
2.0,18.0,0.18432808173731363,2.0
26.0,28.0,0.24044964260633828,7.0
3.0,12.0,0.25843546816260243,2.0
10.0,29.0,0.2765302763628035,3.0
17.0,25.0,0.31543910666200703,3.0
6.0,31.0,0.517193249993452,3.0
14.0,30.0,0.6177861843146961,8.0
27.0,33.0,0.6273394339930076,5.0
20.0,21.0,0.8135109980499824,2.0
19.0,35.0,0.9823237655532303,9.0
34.0,36.0,1.0141462418553087,8.0
37.0,38.0,1.145073964414781,11.0
32.0,39.0,1.1580560789382783,11.0
40.0,41.0,1.7646978892207805,22.0
