UMAP_1,UMAP_2,leiden,cell_type
8.845215,7.626081,13,Unknown
13.035802,3.4558778,6,Unknown
-5.5688953,5.2546573,8,Unknown
8.934275,-0.21608996,2,Unknown
8.70087,11.583658,1,Unknown
7.7990146,9.096991,0,Unknown
8.173141,-1.4628816,2,Unknown
11.888657,-0.30991042,10,Unknown
14.901717,9.544825,3,Unknown
12.366071,-0.18946747,10,Unknown
13.62308,4.1368036,6,Unknown
10.21764,0.64468116,18,Unknown
1.3719459,6.1372585,20,Unknown
14.361451,9.974865,3,Unknown
6.382289,9.504675,0,Unknown
7.7570906,-1.7372977,2,Unknown
-5.3999753,3.1602623,9,Unknown
-3.6081412,1.8449361,5,Unknown
-5.691463,7.8944583,4,Unknown
11.511788,10.400412,11,Unknown
-5.5159836,0.39371952,5,Unknown
9.624206,10.078618,1,Unknown
6.4997034,9.728596,0,Unknown
7.915577,-2.2122376,2,Unknown
8.937936,7.317601,13,Unknown
13.08026,9.4959755,3,Unknown
-2.6669455,4.722048,15,Unknown
10.360154,9.717706,1,Unknown
10.907343,9.711773,1,Unknown
12.019401,6.265673,12,Unknown
8.808614,10.335098,1,Unknown
12.530945,7.5959206,3,Unknown
-6.183394,5.5829744,8,Unknown
-3.9121246,1.7466223,5,Unknown
7.3931184,9.943885,0,Unknown
-5.642254,7.1237965,4,Unknown
10.060283,10.441224,1,Unknown
-4.2776093,3.342239,7,Unknown
4.968594,7.1706777,19,Unknown
12.60089,4.149938,6,Unknown
6.8940725,8.991837,0,Unknown
10.307739,11.746525,1,Unknown
13.744368,8.466664,3,Unknown
12.531935,7.5025196,3,Unknown
6.20489,9.888959,0,Unknown
11.242372,10.661898,11,Unknown
-5.697684,5.400938,8,Unknown
7.147694,9.753386,0,Unknown
4.908629,7.012798,19,Unknown
11.525776,11.053062,11,Unknown
6.779262,9.145079,0,Unknown
-6.5079203,2.35553,9,Unknown
10.012024,11.321049,1,Unknown
11.2719965,9.1646,12,Unknown
-4.8440065,3.5331838,9,Unknown
-3.9468446,4.3280478,7,Unknown
9.623628,10.733371,1,Unknown
13.958012,9.455001,3,Unknown
7.079257,10.269291,0,Unknown
9.070927,12.341555,17,Unknown
11.70897,11.251582,11,Unknown
11.034839,8.282888,12,Unknown
6.962692,10.897957,0,Unknown
8.520922,-2.434736,2,Unknown
11.601061,-0.1755999,10,Unknown
9.495801,10.983805,1,Unknown
8.943658,9.919287,1,Unknown
7.0438733,10.652074,0,Unknown
9.72083,10.609213,1,Unknown
6.658765,9.696627,0,Unknown
14.314063,9.698424,3,Unknown
8.063736,-0.6399768,2,Unknown
10.109293,8.116911,12,Unknown
8.488229,6.661208,13,Unknown
8.984731,-0.32511845,2,Unknown
13.622799,5.186907,6,Unknown
10.018353,10.729555,1,Unknown
-5.4777913,0.42052373,5,Unknown
7.34838,10.690781,0,Unknown
-4.958861,2.5537207,7,Unknown
8.642202,10.766922,1,Unknown
7.8851237,7.0681257,13,Unknown
10.584484,11.657223,1,Unknown
6.9370666,8.978946,0,Unknown
-3.5629678,9.251035,14,Unknown
8.296194,-0.7683366,2,Unknown
9.327165,10.41462,1,Unknown
7.1475277,10.153919,0,Unknown
14.453466,9.296868,3,Unknown
-4.631879,6.6785455,4,Unknown
10.258491,9.664607,1,Unknown
-4.107467,1.1535543,5,Unknown
11.604666,8.1847,12,Unknown
10.913746,11.762989,11,Unknown
13.434586,8.843544,3,Unknown
-6.1244526,3.4927948,9,Unknown
11.3224535,11.75965,11,Unknown
-5.477895,1.4059634,5,Unknown
12.31849,3.8405986,6,Unknown
-5.9237037,5.4323673,8,Unknown
8.410062,-0.9646549,2,Unknown
7.167953,9.572836,0,Unknown
13.762483,9.538323,3,Unknown
-6.1371217,4.426803,15,Unknown
11.463562,11.449677,11,Unknown
-5.1083555,0.7533823,5,Unknown
13.930138,4.5851316,6,Unknown
7.6695447,8.840111,0,Unknown
13.180335,5.1036973,6,Unknown
12.544044,8.533494,3,Unknown
11.842662,11.276733,11,Unknown
9.704484,12.181717,17,Unknown
4.7154455,3.6305125,21,Unknown
-4.7548075,3.0632942,7,Unknown
14.33859,9.713802,3,Unknown
8.727919,6.876511,13,Unknown
11.801492,11.509483,11,Unknown
-4.1125655,2.9175932,7,Unknown
-4.854161,2.7287354,7,Unknown
11.642505,7.575445,12,Unknown
7.0761747,9.686212,0,Unknown
7.267586,10.756763,0,Unknown
-2.5264363,11.1428,14,Unknown
10.997044,-2.2606595,10,Unknown
13.878248,5.070483,6,Unknown
-8.100725,4.5246964,16,Unknown
10.130236,11.118946,1,Unknown
6.7160277,10.015386,0,Unknown
8.077243,9.096598,0,Unknown
9.085554,-0.96842355,2,Unknown
7.7701154,9.565094,0,Unknown
-3.3846757,9.766821,14,Unknown
8.512608,-1.6549959,2,Unknown
10.140851,9.961888,1,Unknown
12.849132,8.652471,3,Unknown
11.206959,11.082218,11,Unknown
13.3463125,3.6034403,6,Unknown
-3.2024968,10.050191,14,Unknown
9.833004,13.158425,17,Unknown
8.593962,-0.70828784,2,Unknown
-4.1268735,2.655212,7,Unknown
-5.8401027,6.697636,4,Unknown
-2.6027226,4.635486,15,Unknown
-5.0523815,2.6699083,7,Unknown
8.530762,-0.5830466,2,Unknown
-2.4891088,9.589149,14,Unknown
12.713434,-0.6113694,10,Unknown
12.862824,7.361834,3,Unknown
-6.0968146,4.611445,8,Unknown
-1.80436,11.290135,14,Unknown
11.968703,-1.4416854,10,Unknown
8.551064,6.792832,13,Unknown
-6.8107023,1.6677454,9,Unknown
-5.2270756,2.3356774,5,Unknown
-5.3236365,2.2026389,9,Unknown
8.083386,10.578185,0,Unknown
10.187156,8.597282,12,Unknown
-5.433369,7.23116,4,Unknown
6.7173777,10.34985,0,Unknown
8.528485,11.300366,1,Unknown
10.782637,10.104804,1,Unknown
11.996926,-0.8688914,10,Unknown
-4.7530265,7.424141,4,Unknown
10.376172,8.136776,12,Unknown
10.300744,-1.711316,10,Unknown
8.623873,11.064556,1,Unknown
-4.3699245,8.473832,4,Unknown
7.920576,10.121265,0,Unknown
13.321836,3.425458,6,Unknown
13.239737,4.4604483,6,Unknown
7.110578,9.66362,0,Unknown
11.53903,9.931551,11,Unknown
9.070283,11.493196,1,Unknown
11.303889,9.635367,1,Unknown
8.184906,-0.7693609,2,Unknown
-5.8548613,7.7782254,4,Unknown
9.391246,10.346115,1,Unknown
9.951954,13.204837,17,Unknown
6.7808642,9.380077,0,Unknown
14.453623,9.554741,3,Unknown
-4.989781,1.0109737,5,Unknown
6.4424973,9.287144,0,Unknown
8.974518,-1.5237466,2,Unknown
8.088646,9.181467,0,Unknown
9.62865,-1.3369341,2,Unknown
14.539681,9.636955,3,Unknown
-6.2030406,0.83945197,5,Unknown
7.245452,10.091517,0,Unknown
-4.213657,1.8287407,5,Unknown
8.204361,-0.32614547,2,Unknown
8.430519,-1.1309062,2,Unknown
9.039175,11.472705,1,Unknown
8.259661,-2.0067751,2,Unknown
9.16763,-1.6993282,2,Unknown
-6.4345646,5.1611934,8,Unknown
-5.0537305,3.8314114,8,Unknown
6.8815236,10.5515375,0,Unknown
8.124906,-2.3711925,2,Unknown
14.32503,8.703596,3,Unknown
8.314952,7.0991664,13,Unknown
10.109309,9.881822,1,Unknown
9.451986,-1.4888604,2,Unknown
10.566263,10.652043,1,Unknown
-3.0098164,8.781859,15,Unknown
13.77572,9.002925,3,Unknown
9.991724,10.581277,1,Unknown
7.6123695,8.960403,0,Unknown
4.5596247,3.5393438,21,Unknown
11.464029,10.895788,11,Unknown
0.8815615,6.6238647,20,Unknown
-5.2390428,1.522281,5,Unknown
8.149962,7.339485,13,Unknown
-4.818383,7.3237767,4,Unknown
