patient_name,cell_type,counts,percentage
p1_pre,B cells,0,0.0
p1_pre,Myeloid cells,642,62.14908034849952
p1_pre,T cells,391,37.85091965150048
p1_post,B cells,4,0.5578800557880056
p1_post,Myeloid cells,322,44.90934449093445
p1_post,T cells,391,54.53277545327755
p6_pre,B cells,65,4.371217215870881
p6_pre,Myeloid cells,717,48.21788836583726
p6_pre,T cells,705,47.41089441829186
p6_post,B cells,113,2.306593182282098
p6_post,Myeloid cells,3703,75.5868544600939
p6_post,T cells,1083,22.106552357624004
p7_pre,B cells,49,2.536231884057971
p7_pre,Myeloid cells,770,39.85507246376812
p7_pre,T cells,1113,57.608695652173914
p7_post,B cells,12,0.7453416149068323
p7_post,Myeloid cells,796,49.440993788819874
p7_post,T cells,802,49.81366459627329
