UMAP_1,UMAP_2,leiden,patient_name
-2.370498,7.5437326,7,p1_pre
12.425611,3.6081946,13,p1_pre
4.103895,5.540133,4,p1_pre
6.469144,14.746237,17,p1_pre
6.2496533,14.91092,17,p1_pre
5.6057887,7.914853,11,p1_pre
6.9552927,14.916767,17,p1_pre
12.86049,4.668563,13,p1_pre
6.9201527,7.29796,23,p1_pre
-1.5235697,6.5636926,10,p1_pre
7.3309226,5.347121,15,p1_pre
4.5691996,5.9032307,4,p1_pre
5.3692718,7.712226,11,p1_pre
-4.1420126,7.546948,8,p1_pre
0.8434903,9.920049,9,p1_pre
4.445225,5.913138,4,p1_pre
6.7008367,14.284317,17,p1_pre
11.762031,3.596705,13,p1_pre
4.501015,6.329926,4,p1_pre
6.79862,7.2022996,23,p1_pre
7.3712153,13.99342,17,p1_pre
4.789903,5.8553686,4,p1_pre
5.5568476,7.6473026,11,p1_pre
6.5035024,14.506838,17,p1_pre
2.0374064,9.310243,9,p1_pre
4.6905437,6.4674315,4,p1_pre
6.8483367,7.3072777,23,p1_pre
7.4388976,13.86641,17,p1_pre
-4.1396394,7.011218,8,p1_pre
2.0370095,9.359599,9,p1_pre
12.803035,4.7056284,13,p1_pre
7.718598,4.95958,15,p1_pre
6.0955825,14.343608,17,p1_pre
5.058538,7.855375,11,p1_pre
6.3268547,14.560121,17,p1_pre
7.814806,13.116926,17,p1_pre
2.1031122,1.5755947,4,p1_pre
11.565326,2.6772432,13,p1_pre
13.435682,3.3611953,13,p1_pre
6.396904,5.7334437,4,p1_pre
11.696003,2.701429,13,p1_pre
2.567668,-4.3388715,5,p1_pre
11.982143,2.9956234,13,p1_pre
1.5087543,8.499401,9,p1_pre
7.01938,5.994257,4,p1_pre
12.728912,4.7489552,13,p1_pre
3.9809914,8.267205,11,p1_pre
-2.2057488,9.159367,7,p1_pre
11.525801,2.61715,13,p1_pre
7.1459217,7.458005,23,p1_pre
11.918536,2.8662558,13,p1_pre
-2.5688221,4.2888494,10,p1_pre
5.3780937,7.908205,11,p1_pre
7.155869,4.591003,15,p1_pre
6.204768,14.412913,17,p1_pre
7.412398,4.843035,15,p1_pre
7.096959,5.0545297,15,p1_pre
2.3494747,9.007511,9,p1_pre
12.667955,4.907097,13,p1_pre
7.0223103,7.098618,23,p1_pre
6.1840773,6.46178,4,p1_pre
7.6303835,12.694666,17,p1_pre
12.564719,4.7165337,13,p1_pre
6.8758388,14.811789,17,p1_pre
7.5712605,13.9386,17,p1_pre
11.167985,2.4676611,13,p1_pre
6.578752,7.14219,23,p1_pre
6.5998783,6.9564924,23,p1_pre
-4.0595856,7.6190567,8,p1_pre
-6.1022983,10.116701,7,p1_pre
6.2397304,14.636039,17,p1_pre
11.666569,2.4924898,13,p1_pre
6.9299207,6.106371,4,p1_pre
6.204496,14.391758,17,p1_pre
7.077619,4.545197,15,p1_pre
4.4753604,6.2397413,4,p1_pre
11.524304,2.7485723,13,p1_pre
7.0223536,5.193998,15,p1_pre
11.892856,2.7674458,13,p1_pre
6.5988984,14.387848,17,p1_pre
3.1734087,-2.651132,5,p1_pre
1.6066725,8.952543,9,p1_pre
11.3543415,2.7847435,13,p1_pre
5.021886,5.8920913,4,p1_pre
11.397141,2.8278937,13,p1_pre
12.94643,4.6998105,13,p1_pre
0.6506146,-5.3907804,3,p1_pre
4.3850417,6.132343,4,p1_pre
-3.8061292,7.6965876,7,p1_pre
5.448898,7.829199,11,p1_pre
5.4483857,7.685547,11,p1_pre
7.3312173,5.234106,15,p1_pre
2.2923236,9.033044,9,p1_pre
11.294461,2.5605736,13,p1_pre
7.857598,5.170986,15,p1_pre
-5.060573,8.613375,7,p1_pre
11.552613,2.5011296,13,p1_pre
-4.7476535,4.7203116,18,p1_pre
-1.2375698,-1.8527339,1,p1_pre
0.82413054,-4.857916,3,p1_pre
6.8207397,7.3645163,23,p1_pre
-3.494295,8.756016,7,p1_pre
6.721103,6.1525245,4,p1_pre
12.81512,4.8440757,13,p1_pre
1.8197196,9.626959,9,p1_pre
-4.499375,9.192197,7,p1_pre
6.6207666,14.3633585,17,p1_pre
3.538154,-2.6774929,5,p1_pre
7.002188,6.171742,4,p1_pre
-4.111051,8.328236,7,p1_pre
4.3232436,6.3177547,4,p1_pre
7.656989,5.0138702,15,p1_pre
1.2455293,9.37933,9,p1_pre
2.0690172,-2.943483,5,p1_pre
6.0185876,6.0700064,4,p1_pre
11.279287,2.7811549,13,p1_pre
6.8112974,7.395754,23,p1_pre
1.7750438,7.979189,9,p1_pre
3.7744374,8.048848,11,p1_pre
5.3450217,7.80376,11,p1_pre
-4.939529,9.22977,7,p1_pre
13.253203,2.6068397,13,p1_pre
-3.2752402,4.6625323,2,p1_pre
-5.2345457,4.6881595,18,p1_pre
4.452051,6.0298223,4,p1_pre
5.1131167,7.9215407,11,p1_pre
1.6766249,8.89393,9,p1_pre
7.9523816,12.949068,17,p1_pre
4.1581893,5.607111,4,p1_pre
1.3511701,-3.8474798,1,p1_pre
7.053866,7.5639267,23,p1_pre
-3.30845,7.089343,8,p1_pre
11.562471,2.8099804,13,p1_pre
3.884549,5.579429,4,p1_pre
6.557888,5.476095,15,p1_pre
1.7061113,-5.0909295,3,p1_pre
7.3247256,14.004849,17,p1_pre
2.4358823,-2.2581074,5,p1_pre
5.8977466,14.389867,17,p1_pre
7.699182,13.808887,17,p1_pre
6.969415,7.332871,23,p1_pre
2.1366286,9.76354,9,p1_pre
5.8337393,7.6360726,11,p1_pre
11.377436,2.9625812,13,p1_pre
7.0811567,7.453477,23,p1_pre
1.1496135,6.098859,0,p1_pre
5.313363,8.1230135,11,p1_pre
6.125984,5.3978415,4,p1_pre
6.334748,5.967272,4,p1_pre
10.997376,4.6639237,13,p1_pre
6.998485,7.2312193,23,p1_pre
6.066966,6.7367945,23,p1_pre
11.723115,2.6259701,13,p1_pre
7.7153964,4.938567,15,p1_pre
1.1083745,9.364919,9,p1_pre
12.775358,4.6274095,13,p1_pre
2.6288915,9.675921,9,p1_pre
3.4029462,8.31669,11,p1_pre
7.126908,7.53634,23,p1_pre
10.893315,4.813061,13,p1_pre
7.041353,7.576219,23,p1_pre
-4.6774254,9.190072,7,p1_pre
7.453364,5.240112,15,p1_pre
7.061997,4.4975653,15,p1_pre
-4.931422,6.924232,8,p1_pre
5.2285647,7.591827,11,p1_pre
12.555031,4.7377963,13,p1_pre
2.2708757,9.730667,9,p1_pre
5.2480946,7.922289,11,p1_pre
