UMAP_1,UMAP_2,leiden,patient_name,cell_type
-0.11241357,8.009804,2,p1_pre,Myeloid cells
12.278518,2.7373605,9,p1_pre,Myeloid cells
3.555717,4.8200383,4,p1_pre,T cells
8.992254,12.359861,12,p1_pre,Myeloid cells
9.061642,12.033144,12,p1_pre,Myeloid cells
5.446147,7.3505044,8,p1_pre,T cells
8.489274,11.9535055,12,p1_pre,Myeloid cells
12.720422,4.11112,9,p1_pre,Myeloid cells
6.4606495,6.6006737,15,p1_pre,Myeloid cells
-2.7311416,6.160415,3,p1_pre,Myeloid cells
6.779163,4.5629296,4,p1_pre,T cells
4.015632,5.110282,4,p1_pre,T cells
5.26794,7.1733427,8,p1_pre,T cells
-0.5635111,9.5619135,2,p1_pre,Myeloid cells
-4.9489384,9.775191,7,p1_pre,Myeloid cells
3.973828,5.0772433,4,p1_pre,T cells
8.765248,11.336837,12,p1_pre,Myeloid cells
12.935423,3.1735408,9,p1_pre,Myeloid cells
3.843873,5.6140075,4,p1_pre,T cells
6.4879837,6.3818245,15,p1_pre,Myeloid cells
7.961112,12.844296,12,p1_pre,Myeloid cells
4.1323566,5.1273036,4,p1_pre,T cells
5.2495456,7.156882,8,p1_pre,T cells
8.831406,11.980662,12,p1_pre,Myeloid cells
-3.658009,10.704693,7,p1_pre,Myeloid cells
4.1053605,5.6579123,4,p1_pre,T cells
6.708103,6.5968947,15,p1_pre,Myeloid cells
7.7386637,12.863073,12,p1_pre,Myeloid cells
-1.1562608,9.660045,2,p1_pre,Myeloid cells
-3.7373931,10.798066,7,p1_pre,Myeloid cells
12.685131,4.063633,9,p1_pre,Myeloid cells
6.999315,4.1460404,4,p1_pre,T cells
9.106997,12.001169,12,p1_pre,Myeloid cells
4.9902043,7.1200504,8,p1_pre,T cells
8.834854,11.816991,12,p1_pre,Myeloid cells
7.051316,13.269414,12,p1_pre,Myeloid cells
4.1007113,4.248468,4,p1_pre,T cells
13.563045,2.535067,9,p1_pre,Myeloid cells
11.787368,2.1943264,9,p1_pre,Myeloid cells
5.6906424,4.98304,4,p1_pre,T cells
13.359697,2.3779042,9,p1_pre,Myeloid cells
-0.022425758,-3.0655649,1,p1_pre,T cells
13.131945,2.570913,9,p1_pre,Myeloid cells
-3.5953746,9.896609,7,p1_pre,Myeloid cells
6.4294324,5.347757,4,p1_pre,T cells
12.700433,4.0904365,9,p1_pre,Myeloid cells
4.375589,7.0412583,8,p1_pre,T cells
2.0031223,8.883728,2,p1_pre,Myeloid cells
13.763403,2.397405,9,p1_pre,Myeloid cells
6.8444963,6.533152,15,p1_pre,Myeloid cells
13.167137,2.532126,9,p1_pre,Myeloid cells
-3.500184,5.2298827,3,p1_pre,Myeloid cells
5.3359714,7.4143987,8,p1_pre,T cells
6.424517,3.9492292,4,p1_pre,T cells
9.017165,11.971961,12,p1_pre,Myeloid cells
6.6462517,4.0734525,4,p1_pre,T cells
6.4937167,4.360866,4,p1_pre,T cells
-4.042161,10.7244005,7,p1_pre,Myeloid cells
12.713779,4.197562,9,p1_pre,Myeloid cells
6.730405,6.3070226,15,p1_pre,Myeloid cells
5.6748047,5.786431,4,p1_pre,T cells
6.892201,12.917408,12,p1_pre,Myeloid cells
12.6024275,4.0869107,9,p1_pre,Myeloid cells
8.4787245,11.96903,12,p1_pre,Myeloid cells
7.7541833,12.976091,12,p1_pre,Myeloid cells
13.927357,2.2920783,9,p1_pre,Myeloid cells
6.1572647,6.430112,15,p1_pre,Myeloid cells
6.3305364,6.137534,15,p1_pre,Myeloid cells
-0.5148559,9.541016,2,p1_pre,Myeloid cells
1.6822039,12.0604,2,p1_pre,Myeloid cells
8.922668,12.151018,12,p1_pre,Myeloid cells
13.697983,2.66486,9,p1_pre,Myeloid cells
6.3102775,5.4236646,4,p1_pre,T cells
9.160913,12.187144,12,p1_pre,Myeloid cells
6.4689665,3.895488,4,p1_pre,T cells
3.8570168,5.615398,4,p1_pre,T cells
13.667388,2.4628575,9,p1_pre,Myeloid cells
6.334726,4.6295037,4,p1_pre,T cells
13.31564,2.4615438,9,p1_pre,Myeloid cells
8.8887615,12.350119,12,p1_pre,Myeloid cells
-3.1823342,-2.4893713,1,p1_pre,T cells
-4.1488376,10.03156,7,p1_pre,Myeloid cells
