UMAP_1,UMAP_2,leiden,cell_type
1.3481443,3.8396142,5,Plasma cells
8.880476,6.556169,0,Plasma cells
5.334046,2.6315749,2,Plasma cells
5.5280657,2.632022,2,Plasma cells
1.4449435,3.819341,5,Plasma cells
5.9792404,6.928855,1,Naive B cells
8.751485,8.065753,0,Plasma cells
7.978365,8.076688,6,Naive B cells
2.3778336,3.4015691,5,Plasma cells
9.1816635,7.2091813,0,Plasma cells
6.6263747,6.522247,0,Plasma cells
7.206497,7.510832,1,Naive B cells
9.4148245,7.0766373,0,Plasma cells
4.424798,5.167054,3,Plasma cells
5.334311,7.8613997,1,Naive B cells
4.5254173,7.29022,1,Naive B cells
4.70884,7.5683184,1,Naive B cells
4.3104053,8.54376,1,Naive B cells
4.6247277,2.3664098,2,Plasma cells
3.7921453,2.351321,2,Plasma cells
3.2822397,3.1164908,2,Plasma cells
7.50172,2.956346,4,Plasma cells
10.643051,5.770502,0,Plasma cells
8.697401,7.188132,0,Plasma cells
5.8718443,6.5947633,1,Naive B cells
8.534377,6.3256593,0,Plasma cells
8.88953,7.5612726,0,Plasma cells
5.3896065,7.2394447,1,Naive B cells
9.546624,5.9423585,0,Plasma cells
8.308534,6.117623,0,Plasma cells
9.382441,6.8125086,0,Plasma cells
8.881484,6.855331,0,Plasma cells
6.236051,2.8034031,2,Plasma cells
8.121477,4.0458026,4,Plasma cells
5.2963705,5.309179,3,Plasma cells
4.534638,7.8869777,1,Naive B cells
6.0338373,7.1074586,1,Naive B cells
1.4525659,4.74066,5,Plasma cells
9.191956,7.3935795,0,Plasma cells
4.9740853,5.4186473,3,Plasma cells
9.164883,7.6510353,0,Plasma cells
5.937819,3.6820045,2,Plasma cells
10.636842,7.239887,0,Plasma cells
4.812456,7.0445485,1,Naive B cells
6.4867764,7.181494,1,Naive B cells
8.218762,3.7627337,4,Plasma cells
0.031423446,3.3138733,5,Plasma cells
4.341814,1.6865855,2,Plasma cells
9.082802,5.1850257,0,Plasma cells
0.46879902,4.3730817,5,Plasma cells
10.230478,5.2824264,0,Plasma cells
9.183264,7.1225348,0,Plasma cells
4.528738,6.743639,3,Plasma cells
8.258847,6.3180776,0,Plasma cells
4.9144263,4.488468,3,Plasma cells
8.064782,8.853378,6,Naive B cells
4.079674,4.243476,3,Plasma cells
7.948865,4.0959845,4,Plasma cells
6.5829535,8.2248535,1,Naive B cells
5.3163476,7.0642943,1,Naive B cells
9.451302,6.2783737,0,Plasma cells
4.840872,2.244308,2,Plasma cells
8.855488,4.311491,4,Plasma cells
4.448978,4.231905,3,Plasma cells
4.3558464,2.2895024,2,Plasma cells
3.8207407,4.98975,3,Plasma cells
1.7844914,3.7743404,5,Plasma cells
8.1663065,7.5361714,0,Plasma cells
9.743079,7.9634347,0,Plasma cells
8.471554,6.3209133,0,Plasma cells
9.919128,5.2926083,0,Plasma cells
5.881532,7.9807405,1,Naive B cells
4.463233,1.6728776,2,Plasma cells
8.040357,5.0527554,0,Plasma cells
4.2015676,8.086163,1,Naive B cells
6.566771,2.2201068,2,Plasma cells
8.197487,6.0098677,0,Plasma cells
4.1559696,5.358477,3,Plasma cells
10.093713,6.7154236,0,Plasma cells
4.893899,6.6080003,1,Naive B cells
5.1541796,1.7932299,2,Plasma cells
3.4796963,4.193613,3,Plasma cells
4.1073265,8.806384,1,Naive B cells
8.089508,7.0916934,0,Plasma cells
6.134004,6.431014,3,Plasma cells
8.259229,5.554402,0,Plasma cells
8.190034,3.7349164,4,Plasma cells
8.866029,6.1367874,0,Plasma cells
4.1626797,7.7584324,1,Naive B cells
4.970459,5.5048814,3,Plasma cells
5.8022766,8.372739,1,Naive B cells
8.668914,4.879548,0,Plasma cells
9.923857,6.116254,0,Plasma cells
9.563774,5.855816,0,Plasma cells
5.858325,2.8023043,2,Plasma cells
0.41285482,3.392682,5,Plasma cells
6.087576,1.840278,2,Plasma cells
5.590441,3.1226788,2,Plasma cells
7.6023803,8.430023,6,Naive B cells
9.765564,7.023279,0,Plasma cells
3.9825952,3.7847753,3,Plasma cells
8.2642565,3.2228458,4,Plasma cells
4.708238,7.1029234,1,Naive B cells
5.801693,4.9755244,3,Plasma cells
4.7847595,3.9250546,3,Plasma cells
7.5551496,6.913986,0,Plasma cells
4.73874,8.142473,1,Naive B cells
4.4939485,2.7653418,2,Plasma cells
8.460929,3.3781862,4,Plasma cells
7.5953383,7.5724626,6,Naive B cells
6.133973,8.016622,1,Naive B cells
4.2336416,2.7610388,2,Plasma cells
9.367691,6.207182,0,Plasma cells
8.402442,6.8774505,0,Plasma cells
9.528164,6.709599,0,Plasma cells
9.789678,6.223448,0,Plasma cells
4.8796177,6.4574122,1,Naive B cells
4.301108,6.525319,3,Plasma cells
1.2494391,4.416937,5,Plasma cells
5.543423,7.515121,1,Naive B cells
5.0451794,7.8462906,1,Naive B cells
8.105598,8.045316,6,Naive B cells
8.776314,4.1845403,4,Plasma cells
5.0159507,2.1047456,2,Plasma cells
7.6260586,6.1763725,0,Plasma cells
3.712746,7.317158,1,Naive B cells
9.875705,7.066657,0,Plasma cells
6.9459133,6.1839695,0,Plasma cells
1.1209414,4.5115204,5,Plasma cells
6.653085,8.686568,6,Naive B cells
9.688021,7.6447577,0,Plasma cells
0.78235745,4.4890223,5,Plasma cells
9.659478,6.4262795,0,Plasma cells
9.085888,6.0062256,0,Plasma cells
8.877855,7.876731,0,Plasma cells
4.972526,8.828158,1,Naive B cells
1.4263666,4.6269927,5,Plasma cells
8.42626,8.034185,0,Plasma cells
6.620541,7.554591,1,Naive B cells
8.7109785,4.8654885,0,Plasma cells
6.924754,2.506208,2,Plasma cells
5.2173777,6.396349,1,Naive B cells
4.2484365,7.193924,1,Naive B cells
5.214623,7.9081655,1,Naive B cells
7.742411,9.225243,6,Naive B cells
6.0133133,2.1167,2,Plasma cells
6.634419,2.5479217,2,Plasma cells
1.0292916,3.4159052,5,Plasma cells
7.6621995,4.869491,4,Plasma cells
5.878142,2.3728209,2,Plasma cells
7.098754,8.032206,1,Naive B cells
5.478835,8.05821,1,Naive B cells
6.123686,2.5113108,2,Plasma cells
1.3882,3.22579,5,Plasma cells
9.486556,6.9687333,0,Plasma cells
9.229702,6.3969364,0,Plasma cells
1.7664144,4.8508415,5,Plasma cells
4.148488,3.890592,3,Plasma cells
4.356434,8.902513,1,Naive B cells
9.78368,7.3166947,0,Plasma cells
8.035444,6.959522,0,Plasma cells
7.076796,3.2237544,4,Plasma cells
4.2987313,7.9860873,1,Naive B cells
5.498129,8.025053,1,Naive B cells
10.35491,5.6158614,0,Plasma cells
