UMAP_1,UMAP_2,leiden,cell_type
9.556034,7.579827,1,Classical monocytes
12.1506195,10.177737,2,Classical monocytes
13.271105,12.18303,0,Classical monocytes
9.535046,4.442065,1,Classical monocytes
11.1938,13.250908,0,Classical monocytes
12.247011,10.348325,2,Classical monocytes
9.333344,7.9340343,1,Classical monocytes
12.268494,13.01294,0,Classical monocytes
9.755703,4.432754,1,Classical monocytes
12.901784,9.571547,2,Classical monocytes
10.198828,7.446768,1,Classical monocytes
10.577056,11.280458,0,Classical monocytes
10.533401,9.600495,6,Classical monocytes
11.057037,7.2597494,2,Classical monocytes
10.574992,13.210745,0,Classical monocytes
12.130597,11.824992,0,Classical monocytes
7.0700173,2.2253277,3,Non-classical monocytes
10.551094,5.9214196,1,Classical monocytes
11.786216,12.477046,0,Classical monocytes
10.49177,9.33313,2,Classical monocytes
12.1764765,11.566187,0,Classical monocytes
10.002112,6.778369,1,Classical monocytes
9.403808,9.346554,4,Intermediate monocytes
11.148444,13.258731,0,Classical monocytes
12.4369755,10.527169,2,Classical monocytes
11.765273,10.537662,2,Classical monocytes
10.68517,10.753854,0,Classical monocytes
5.794265,0.9723644,3,Non-classical monocytes
7.2464924,10.874987,4,Intermediate monocytes
7.155259,1.583094,3,Non-classical monocytes
6.5026097,1.4812776,3,Non-classical monocytes
13.388116,9.404817,2,Classical monocytes
9.216762,6.2690673,1,Classical monocytes
10.814706,13.69343,0,Classical monocytes
10.7265625,10.49168,6,Classical monocytes
6.619515,1.2025201,3,Non-classical monocytes
9.619051,8.16354,5,Classical monocytes
5.1456943,0.7734602,3,Non-classical monocytes
9.753442,12.755754,0,Classical monocytes
11.60297,11.683801,0,Classical monocytes
10.645997,11.949791,0,Classical monocytes
8.789778,4.6833854,1,Classical monocytes
9.841874,4.8225746,1,Classical monocytes
9.0324135,3.1105325,7,Non-classical monocytes
9.338749,3.852641,7,Non-classical monocytes
10.093948,13.284392,0,Classical monocytes
11.816358,13.069935,0,Classical monocytes
12.242486,11.687303,0,Classical monocytes
9.419466,7.8966823,1,Classical monocytes
10.198881,9.29571,2,Classical monocytes
7.637118,2.0031302,3,Non-classical monocytes
11.469907,12.012615,0,Classical monocytes
9.972504,4.7018247,1,Classical monocytes
7.6097064,2.0618007,3,Non-classical monocytes
11.205168,12.384864,0,Classical monocytes
13.0431385,11.553677,0,Classical monocytes
12.241669,7.5099792,2,Classical monocytes
13.072194,10.310818,2,Classical monocytes
9.723513,6.542228,1,Classical monocytes
9.1416645,3.278162,7,Non-classical monocytes
9.711,6.316444,1,Classical monocytes
9.5297365,12.7809725,0,Classical monocytes
12.243344,11.717679,0,Classical monocytes
5.241024,0.30829212,3,Non-classical monocytes
12.360503,12.469394,0,Classical monocytes
9.822555,5.5565863,1,Classical monocytes
11.342541,10.753976,0,Classical monocytes
8.153447,3.7475688,7,Non-classical monocytes
12.332978,11.202432,0,Classical monocytes
10.810558,6.520949,1,Classical monocytes
8.968359,8.112881,6,Classical monocytes
