UMAP_1,UMAP_2,cell_type
8.845215,7.626081,T cells
13.035802,3.4558778,T cells
-5.5688953,5.2546573,Classical monocytes
8.934275,-0.21608996,Plasma cells
8.70087,11.583658,T cells
7.7990146,9.096991,T cells
8.173141,-1.4628816,Plasma cells
11.888657,-0.30991042,Plasma cells
14.901717,9.544825,T cells
12.366071,-0.18946747,Plasma cells
13.62308,4.1368036,T cells
10.21764,0.64468116,Plasma cells
1.3719459,6.1372585,Conventional dendritic cells
14.361451,9.974865,T cells
6.382289,9.504675,T cells
7.7570906,-1.7372977,Naive B cells
-5.3999753,3.1602623,Classical monocytes
-3.6081412,1.8449361,Classical monocytes
-5.691463,7.8944583,Classical monocytes
11.511788,10.400412,T cells
-5.5159836,0.39371952,Classical monocytes
9.624206,10.078618,T cells
6.4997034,9.728596,T cells
7.915577,-2.2122376,Plasma cells
8.937936,7.317601,T cells
13.08026,9.4959755,T cells
-2.6669455,4.722048,Classical monocytes
10.360154,9.717706,T cells
10.907343,9.711773,T cells
12.019401,6.265673,T cells
8.808614,10.335098,T cells
12.530945,7.5959206,T cells
-6.183394,5.5829744,Classical monocytes
-3.9121246,1.7466223,Classical monocytes
7.3931184,9.943885,T cells
-5.642254,7.1237965,Classical monocytes
10.060283,10.441224,T cells
-4.2776093,3.342239,Classical monocytes
4.968594,7.1706777,Granulocytes
12.60089,4.149938,T cells
6.8940725,8.991837,T cells
10.307739,11.746525,T cells
13.744368,8.466664,T cells
12.531935,7.5025196,T cells
6.20489,9.888959,T cells
11.242372,10.661898,T cells
-5.697684,5.400938,Classical monocytes
7.147694,9.753386,T cells
4.908629,7.012798,Granulocytes
11.525776,11.053062,T cells
6.779262,9.145079,T cells
-6.5079203,2.35553,Classical monocytes
10.012024,11.321049,T cells
11.2719965,9.1646,T cells
-4.8440065,3.5331838,Classical monocytes
-3.9468446,4.3280478,Classical monocytes
9.623628,10.733371,T cells
13.958012,9.455001,T cells
7.079257,10.269291,T cells
9.070927,12.341555,T cells
11.70897,11.251582,T cells
11.034839,8.282888,T cells
6.962692,10.897957,T cells
8.520922,-2.434736,Naive B cells
11.601061,-0.1755999,Plasma cells
9.495801,10.983805,T cells
8.943658,9.919287,T cells
7.0438733,10.652074,T cells
9.72083,10.609213,T cells
6.658765,9.696627,T cells
14.314063,9.698424,T cells
8.063736,-0.6399768,Plasma cells
10.109293,8.116911,T cells
8.488229,6.661208,T cells
8.984731,-0.32511845,Plasma cells
13.622799,5.186907,T cells
10.018353,10.729555,T cells
-5.4777913,0.42052373,Classical monocytes
7.34838,10.690781,T cells
-4.958861,2.5537207,Classical monocytes
8.642202,10.766922,T cells
7.8851237,7.0681257,T cells
10.584484,11.657223,T cells
6.9370666,8.978946,T cells
-3.5629678,9.251035,Non-classical monocytes
8.296194,-0.7683366,Naive B cells
9.327165,10.41462,T cells
7.1475277,10.153919,T cells
14.453466,9.296868,T cells
-4.631879,6.6785455,Classical monocytes
10.258491,9.664607,T cells
-4.107467,1.1535543,Classical monocytes
11.604666,8.1847,T cells
10.913746,11.762989,T cells
13.434586,8.843544,T cells
-6.1244526,3.4927948,Classical monocytes
11.3224535,11.75965,T cells
-5.477895,1.4059634,Classical monocytes
12.31849,3.8405986,T cells
-5.9237037,5.4323673,Classical monocytes
8.410062,-0.9646549,Plasma cells
7.167953,9.572836,T cells
13.762483,9.538323,T cells
-6.1371217,4.426803,Intermediate monocytes
11.463562,11.449677,T cells
-5.1083555,0.7533823,Classical monocytes
13.930138,4.5851316,T cells
7.6695447,8.840111,T cells
13.180335,5.1036973,T cells
12.544044,8.533494,T cells
11.842662,11.276733,T cells
9.704484,12.181717,T cells
4.7154455,3.6305125,Plasmacytoid dendritic cells
-4.7548075,3.0632942,Classical monocytes
14.33859,9.713802,T cells
8.727919,6.876511,T cells
11.801492,11.509483,T cells
-4.1125655,2.9175932,Classical monocytes
-4.854161,2.7287354,Classical monocytes
11.642505,7.575445,T cells
7.0761747,9.686212,T cells
7.267586,10.756763,T cells
-2.5264363,11.1428,Non-classical monocytes
10.997044,-2.2606595,Plasma cells
13.878248,5.070483,T cells
-8.100725,4.5246964,Intermediate monocytes
10.130236,11.118946,T cells
6.7160277,10.015386,T cells
8.077243,9.096598,T cells
9.085554,-0.96842355,Naive B cells
7.7701154,9.565094,T cells
-3.3846757,9.766821,Non-classical monocytes
8.512608,-1.6549959,Naive B cells
10.140851,9.961888,T cells
12.849132,8.652471,T cells
11.206959,11.082218,T cells
13.3463125,3.6034403,T cells
-3.2024968,10.050191,Non-classical monocytes
9.833004,13.158425,T cells
8.593962,-0.70828784,Naive B cells
-4.1268735,2.655212,Classical monocytes
-5.8401027,6.697636,Classical monocytes
-2.6027226,4.635486,Classical monocytes
-5.0523815,2.6699083,Classical monocytes
8.530762,-0.5830466,Naive B cells
-2.4891088,9.589149,Non-classical monocytes
12.713434,-0.6113694,Plasma cells
12.862824,7.361834,T cells
-6.0968146,4.611445,Classical monocytes
-1.80436,11.290135,Non-classical monocytes
11.968703,-1.4416854,Plasma cells
8.551064,6.792832,T cells
-6.8107023,1.6677454,Classical monocytes
-5.2270756,2.3356774,Classical monocytes
-5.3236365,2.2026389,Classical monocytes
8.083386,10.578185,T cells
10.187156,8.597282,T cells
-5.433369,7.23116,Classical monocytes
6.7173777,10.34985,T cells
8.528485,11.300366,T cells
10.782637,10.104804,T cells
11.996926,-0.8688914,Plasma cells
-4.7530265,7.424141,Classical monocytes
10.376172,8.136776,T cells
10.300744,-1.711316,Plasma cells
8.623873,11.064556,T cells
-4.3699245,8.473832,Non-classical monocytes
7.920576,10.121265,T cells
13.321836,3.425458,T cells
13.239737,4.4604483,T cells
7.110578,9.66362,T cells
11.53903,9.931551,T cells
9.070283,11.493196,T cells
11.303889,9.635367,T cells
8.184906,-0.7693609,Plasma cells
-5.8548613,7.7782254,Non-classical monocytes
9.391246,10.346115,T cells
9.951954,13.204837,T cells
6.7808642,9.380077,T cells
14.453623,9.554741,T cells
-4.989781,1.0109737,Classical monocytes
6.4424973,9.287144,T cells
8.974518,-1.5237466,Plasma cells
8.088646,9.181467,T cells
9.62865,-1.3369341,Naive B cells
14.539681,9.636955,T cells
-6.2030406,0.83945197,Classical monocytes
7.245452,10.091517,T cells
-4.213657,1.8287407,Classical monocytes
8.204361,-0.32614547,Plasma cells
8.430519,-1.1309062,Plasma cells
9.039175,11.472705,T cells
8.259661,-2.0067751,Naive B cells
9.16763,-1.6993282,Plasma cells
-6.4345646,5.1611934,Classical monocytes
-5.0537305,3.8314114,Classical monocytes
6.8815236,10.5515375,T cells
8.124906,-2.3711925,Plasma cells
14.32503,8.703596,T cells
8.314952,7.0991664,T cells
10.109309,9.881822,T cells
9.451986,-1.4888604,Plasma cells
10.566263,10.652043,T cells
-3.0098164,8.781859,Non-classical monocytes
13.77572,9.002925,T cells
9.991724,10.581277,T cells
7.6123695,8.960403,T cells
4.5596247,3.5393438,Plasmacytoid dendritic cells
11.464029,10.895788,T cells
0.8815615,6.6238647,Conventional dendritic cells
-5.2390428,1.522281,Classical monocytes
8.149962,7.339485,T cells
-4.818383,7.3237767,Classical monocytes
10.933435,8.747651,T cells
6.447115,9.580797,T cells
1.4164261,6.1290073,Conventional dendritic cells
-3.5100875,9.44028,Non-classical monocytes
9.259017,12.90686,T cells
7.106164,10.4694605,T cells
-5.239461,2.2430513,Classical monocytes
-4.8260064,1.6495891,Classical monocytes
9.141322,-0.79832506,Plasma cells
12.93604,8.698336,T cells
12.013106,10.8545885,T cells
9.5469,-0.9862706,Plasma cells
-4.0689473,4.1291423,Classical monocytes
10.861158,-1.8314695,Plasma cells
-3.7130485,2.3387887,Classical monocytes
7.1872888,9.775474,T cells
11.737066,-0.69137716,Plasma cells
10.392634,10.219782,T cells
8.417736,6.900616,T cells
11.72523,6.67265,T cells
-5.2777224,5.9666085,Classical monocytes
11.253734,12.070728,T cells
11.661392,10.954466,T cells
11.677471,7.031464,T cells
